Date,Actual_Ret,Prob,Position,Strat_Ret
2023-01-11,0.04911903051513352,0.526224,0.0,0.0
2023-01-12,0.055893048509553726,0.5192735,0.0,0.0
2023-01-13,0.050146827684418194,0.512712,0.0,0.0
2023-01-14,-0.003988871656173911,0.50624114,0.0,-0.0
2023-01-15,0.014939473685250641,0.49734187,0.0,0.0
2023-01-16,-0.0024026215431750143,0.4920796,0.0,-0.0
2023-01-17,-0.021876742420547574,0.48749945,0.0,-0.0
2023-01-18,0.018880985981668756,0.48098177,0.0,0.0
2023-01-19,0.0729936990967774,0.47918332,0.0,0.0
2023-01-20,0.0051193975233281225,0.47810742,0.0,0.0
2023-01-21,-0.0033267835189935463,0.47617376,0.0,-0.0
2023-01-22,0.009142992475145141,0.47580934,0.0,0.0
2023-01-23,-0.012450835212587299,0.47804356,0.0,-0.0
2023-01-24,0.018736119160646474,0.4741906,0.0,0.0
2023-01-25,-0.0022265840828143047,0.4755469,0.0,-0.0
2023-01-26,0.0027996835390564157,0.47365227,0.0,0.0
2023-01-27,-0.002237034511835935,0.47121948,0.0,-0.0
2023-01-28,0.03078192520585222,0.47091374,0.0,0.0
2023-01-29,-0.0393514588233174,0.46719375,-0.1,0.00393514588233174
2023-01-30,0.013013096440887308,0.4658917,-0.1,-0.0013013096440887308
2023-01-31,0.025932253556535844,0.46881104,-0.1,-0.0025932253556535845
2023-02-01,-0.010322486493569127,0.46724728,-0.1,0.0010322486493569128
2023-02-02,-0.002431330219096245,0.46028182,-0.1,0.00024313302190962448
2023-02-03,-0.004493712909870792,0.46013156,-0.1,0.0004493712909870792
2023-02-04,-0.017031632139821246,0.46080136,-0.1,0.0017031632139821247
2023-02-05,-0.007457673107036351,0.45831263,-0.1,0.0007457673107036352
2023-02-06,0.020779401555923737,0.45930907,-0.1,-0.002077940155592374
2023-02-07,-0.01201050031064175,0.46094564,-0.1,0.001201050031064175
2023-02-08,-0.052141700352517424,0.46034127,-0.1,0.005214170035251743
2023-02-09,-0.007883685677702989,0.46197718,-0.1,0.0007883685677702989
2023-02-10,0.010916288456747329,0.46738726,-0.1,-0.001091628845674733
2023-02-11,-0.0036204886304742638,0.46750197,-0.1,0.0003620488630474264
2023-02-12,-0.00043941906477148134,0.46837184,-0.1,4.394190647714814e-05
2023-02-13,0.01936986197704005,0.47262973,0.0,0.0
2023-02-14,0.09138049119365944,0.47802502,0.0,0.0
2023-02-15,-0.033711393282664585,0.4827889,0.0,-0.0
2023-02-16,0.043770785975072134,0.48169476,0.0,0.0
2023-02-17,0.002519415209186526,0.4864459,0.0,0.0
2023-02-18,-0.014730846119734737,0.48927218,0.0,-0.0
2023-02-19,0.023230285350592204,0.48911324,0.0,0.0
2023-02-20,-0.015825264394064464,0.4902149,0.0,-0.0
2023-02-21,-0.011101316717520895,0.48787948,0.0,-0.0
2023-02-22,-0.01005818454576867,0.48708984,0.0,-0.0
2023-02-23,-0.032041028461487375,0.4856807,0.0,-0.0
2023-02-24,-0.0012178923770018468,0.48291302,0.0,-0.0
2023-02-25,0.01703161058168721,0.48377997,0.0,0.0
2023-02-26,-0.0026679753126395687,0.48439273,0.0,-0.0
2023-02-27,-0.015033201397948169,0.48497358,0.0,-0.0
2023-02-28,0.020842934243896633,0.48735023,0.0,0.0
2023-03-01,-0.006949915104728103,0.49016103,0.0,-0.0
2023-03-02,-0.048503100831987105,0.49149117,0.0,-0.0
2023-03-03,-0.00034764393289772876,0.49395856,0.0,-0.0
2023-03-04,0.003737206709584325,0.49911225,0.0,0.0
2023-03-05,-0.000902760617454153,0.50073636,0.0,-0.0
2023-03-06,-0.009506895048812334,0.50052065,0.0,-0.0
2023-03-07,-0.022437472391169118,0.50018394,0.0,-0.0
2023-03-08,-0.06388169730657518,0.50253916,0.0,-0.0
2023-03-09,-0.010442692083692516,0.50848436,0.0,-0.0
2023-03-10,0.015024507857790617,0.5172224,0.0,0.0
2023-03-11,0.07264804225261712,0.52192926,0.0,0.0
2023-03-12,0.0918599391330703,0.5210885,0.0,0.0
2023-03-13,0.022833529552860565,0.52281773,0.0,0.0
2023-03-14,-0.015718497080592527,0.52644265,0.0,-0.0
2023-03-15,0.028940970979109415,0.53187525,0.1,0.0028940970979109415
2023-03-16,0.0915382366931726,0.5356849,0.1,0.00915382366931726
2023-03-17,-0.017960573857961144,0.53238463,0.1,-0.0017960573857961144
2023-03-18,0.03883042537639571,0.51794726,0.0,0.0
2023-03-19,-0.009188807742989342,0.50725365,0.0,-0.0
2023-03-20,0.013917915171174959,0.49968168,0.0,0.0
2023-03-21,-0.030875102511240874,0.4875505,0.0,-0.0
2023-03-22,0.037610483876124916,0.48293185,0.0,0.0
2023-03-23,-0.030170604453767236,0.47899017,0.0,-0.0
2023-03-24,0.00030882732901125104,0.47716105,0.0,0.0
2023-03-25,0.01822496367160109,0.475114,0.0,0.0
2023-03-26,-0.030610293346195108,0.47463977,0.0,-0.0
2023-03-27,0.005007183266062188,0.47168228,0.0,0.0
2023-03-28,0.039117969089514086,0.4744641,0.0,0.0
2023-03-29,-0.011354726247076305,0.47596854,0.0,-0.0
2023-03-30,0.01546498944228887,0.47145066,0.0,0.0
2023-03-31,-0.00044379564413691034,0.47370845,0.0,-0.0
2023-04-01,-0.009920151427765776,0.47381172,0.0,-0.0
2023-04-02,-0.01328794166506373,0.47227052,0.0,-0.0
2023-04-03,0.01306073888880465,0.47176027,0.0,0.0
2023-04-04,0.00016117729039769833,0.47350562,0.0,0.0
2023-04-05,-0.0048462984303144436,0.47373936,0.0,-0.0
2023-04-06,-0.004558093631494347,0.4745192,0.0,-0.0
2023-04-07,0.0011478259451552448,0.47697496,0.0,0.0
2023-04-08,0.013699657615021985,0.4776675,0.0,0.0
2023-04-09,0.04533402443678367,0.47916704,0.0,0.0
2023-04-10,0.018820778757940998,0.48082647,0.0,0.0
2023-04-11,-0.010396427448109471,0.4805264,0.0,-0.0
2023-04-12,0.01612230751029388,0.4814319,0.0,0.0
2023-04-13,0.003060121449609667,0.48338366,0.0,0.0
2023-04-14,-0.005656179900882534,0.4811571,0.0,-0.0
2023-04-15,0.00031551290745832457,0.4795238,0.0,0.0
2023-04-16,-0.029277429572032238,0.4783599,0.0,-0.0
2023-04-17,0.031761089816271876,0.47567818,0.0,0.0
2023-04-18,-0.053510138704066394,0.47500947,0.0,-0.0
2023-04-19,-0.01940603406257386,0.4742268,0.0,-0.0
2023-04-20,-0.03534405077145466,0.47794732,0.0,-0.0
2023-04-21,0.02011734939753183,0.4817879,0.0,0.0
2023-04-22,-0.008166817188415205,0.48401937,0.0,-0.0
2023-04-23,-0.002891754748673293,0.4842474,0.0,-0.0
2023-04-24,0.028306339200071688,0.48920673,0.0,0.0
2023-04-25,0.004037661120266265,0.49508533,0.0,0.0
2023-04-26,0.0365394056503652,0.5015373,0.0,0.0
2023-04-27,-0.005480032501360423,0.5041354,0.0,-0.0
2023-04-28,-0.0027757795765594477,0.50719523,0.0,-0.0
2023-04-29,9.441762633578723e-05,0.51192254,0.0,0.0
2023-04-30,-0.040665991207925405,0.51225084,0.0,-0.0
2023-05-01,0.021206996165195773,0.51083875,0.0,0.0
2023-05-02,0.012351095602062214,0.5090605,0.0,0.0
2023-05-03,-0.006497982228264741,0.5074324,0.0,-0.0
2023-05-04,0.02288090465334252,0.50540495,0.0,0.0
2023-05-05,-0.02253281543081646,0.5058412,0.0,-0.0
2023-05-06,-0.01459915625864984,0.50824547,0.0,-0.0
2023-05-07,-0.027143379896367045,0.5067272,0.0,-0.0
2023-05-08,-0.0014655392981985705,0.5083425,0.0,-0.0
2023-05-09,-0.0010690420309266652,0.51261353,0.0,-0.0
2023-05-10,-0.0230965139643067,0.51821434,0.0,-0.0
2023-05-11,-0.00645829172740886,0.5203296,0.0,-0.0
2023-05-12,-0.0007366023552270455,0.5207138,0.0,-0.0
2023-05-13,0.005302016968638717,0.52289534,0.0,0.0
2023-05-14,0.0090430011641092,0.52307606,0.0,0.0
2023-05-15,-0.004734677357132959,0.5284078,0.0,-0.0
2023-05-16,0.013658322391184448,0.5282868,0.0,0.0
2023-05-17,-0.021552134669642054,0.5300525,0.1,-0.0021552134669642056
2023-05-18,0.002196585934586688,0.5333872,0.1,0.0002196585934586688
2023-05-19,0.008231203535191795,0.5316405,0.1,0.0008231203535191795
2023-05-20,-0.013171912518513606,0.53108144,0.1,-0.0013171912518513606
2023-05-21,0.0037871532594394926,0.528317,0.0,0.0
2023-05-22,0.01369903691712277,0.52536345,0.0,0.0
2023-05-23,-0.03326629631528951,0.5212425,0.0,-0.0
2023-05-24,0.005483813844004058,0.5208528,0.0,0.0
2023-05-25,0.008730076726596555,0.52298886,0.0,0.0
2023-05-26,0.005539576292267746,0.52329606,0.0,0.0
2023-05-27,0.04409840842612671,0.5242524,0.0,0.0
2023-05-28,-0.011777618425209708,0.5230258,0.0,-0.0
2023-05-29,-0.0015154032789555,0.52401316,0.0,-0.0
2023-05-30,-0.017632811059524262,0.52523726,0.0,-0.0
2023-05-31,-0.014526721963616974,0.5261084,0.0,-0.0
2023-06-01,0.015710863858149307,0.52907777,0.0,0.0
2023-06-02,-0.0063842684993772065,0.5293303,0.0,-0.0
2023-06-03,0.0016975360281114345,0.5271221,0.0,0.0
2023-06-04,-0.05250715845555731,0.52327216,0.0,-0.0
2023-06-05,0.05673457801927024,0.5213361,0.0,0.0
2023-06-06,-0.03325860556385626,0.5229783,0.0,-0.0
2023-06-07,0.00602863973269374,0.52530086,0.0,0.0
2023-06-08,-0.0007852550651334101,0.5269233,0.0,-0.0
2023-06-09,-0.024336519277700846,0.5288706,0.0,-0.0
2023-06-10,0.003258464490493794,0.5323489,0.1,0.0003258464490493794
2023-06-11,-0.0007856342026842933,0.5312544,0.1,-7.856342026842934e-05
2023-06-12,0.0011211542039807445,0.5321361,0.1,0.00011211542039807446
2023-06-13,-0.03155784923802867,0.5311365,0.1,-0.0031557849238028676
2023-06-14,0.018526725673652867,0.5330251,0.1,0.0018526725673652868
2023-06-15,0.028745138290379006,0.537092,0.1,0.002874513829037901
2023-06-16,0.006507155969033793,0.5337633,0.1,0.0006507155969033793
2023-06-17,-0.006698102267960423,0.5321325,0.1,-0.0006698102267960423
2023-06-18,0.0189678131440085,0.52983236,0.0,0.0
