Date,Prob,Position,Strat_Ret
2024-05-11,0.5380212,1,0.01075965097938284
2024-05-12,0.5822419,1,0.023406346968515828
2024-05-13,0.5923224,1,-0.021886781008613777
2024-05-14,0.5701181,1,0.07248226375544757
2024-05-15,0.53253984,1,-0.014779291590717515
2024-05-16,0.53205234,1,0.027051410361314365
2024-05-17,0.500969,0,-0.0
2024-05-18,0.5136554,0,-0.0
2024-05-19,0.53431076,1,0.07515278314448008
2024-05-20,0.53666466,1,-0.018338454758227797
2024-05-21,0.54343283,1,-0.014093766386815483
2024-05-22,0.46885407,-1,0.017457094288918538
2024-05-23,0.49576664,0,0.0
2024-05-24,0.4932421,0,0.0
2024-05-25,0.5462024,1,-0.011363112097898122
2024-05-26,0.5583951,1,0.013465947937329524
2024-05-27,0.5649844,1,-0.0150623714003808
2024-05-28,0.5576529,1,-0.010966160005080427
2024-05-29,0.5422287,1,0.010290184685345129
2024-05-30,0.55608946,1,-0.011953148002230988
2024-05-31,0.5433759,1,0.003352974306247208
2024-06-01,0.532011,1,-1.800306465331948e-05
2024-06-02,0.53915155,1,0.015292495676779325
2024-06-03,0.5303566,1,0.02480167347858517
2024-06-04,0.5352796,1,0.008050544645661345
2024-06-05,0.5165502,0,-0.0
2024-06-06,0.48852062,0,-0.0
2024-06-07,0.49188313,0,-0.0
2024-06-08,0.47717717,-1,-0.004860162159083764
2024-06-09,0.54403275,1,-0.0015538683361776106
2024-06-10,0.5586165,1,-0.032530322415029955
2024-06-11,0.5482859,1,0.014010590579490376
2024-06-12,0.53148454,1,-0.02208343776467173
2024-06-13,0.5562175,1,-0.010977921824138023
2024-06-14,0.562566,1,0.0027860739213107213
2024-06-15,0.5818204,1,0.006751007092293841
2024-06-16,0.6069261,1,-0.002591057844952401
2024-06-17,0.6011158,1,-0.020186188658431685
2024-06-18,0.5785898,1,-0.0030879852219766885
2024-06-19,0.5700399,1,-0.001607771373120505
2024-06-20,0.59407353,1,-0.011261416759841722
2024-06-21,0.5967661,1,0.001844936066219504
2024-06-22,0.5939008,1,-0.016505957689856198
2024-06-23,0.59643126,1,-0.04724168823827901
2024-06-24,0.58557093,1,0.024779622477455705
2024-06-25,0.5719488,1,-0.015342476362678105
2024-06-26,0.6258678,1,0.013730655086801458
2024-06-27,0.6223923,1,-0.020938861751513153
2024-06-28,0.63092816,1,0.009205553774616642
2024-06-29,0.61765933,1,0.028853793809744524
2024-06-30,0.6380575,1,0.0020367312407112426
2024-07-01,0.62238765,1,-0.012229003319739846
2024-07-02,0.57957375,1,-0.0315021343281225
2024-07-03,0.57017773,1,-0.05388661548310068
2024-07-04,0.5710441,1,-0.007410738462197537
2024-07-05,0.51850104,0,0.0
2024-07-06,0.62071896,1,-0.04159356377998373
2024-07-07,0.61572313,1,0.015222671228313616
2024-07-08,0.62790805,1,0.023272682322844962
2024-07-09,0.6354732,1,-0.0055996280225802065
2024-07-10,0.649699,1,-0.006708538049520128
2024-07-11,0.6401975,1,0.009532569171711086
2024-07-12,0.63726914,1,0.022460333746386348
2024-07-13,0.6454454,1,0.02656596839138983
2024-07-14,0.6172122,1,0.06257882518464983
