Date,Model_1,Model_2,Model_3,Model_4,Model_5,Average_Prob,Actual_Target,Is_Weekend,Vote_Consensus_Std
2023-01-15,0.22541804611682892,0.7630402445793152,0.45828577876091003,0.375495582818985,0.5538251996040344,0.47521297037601473,1,1,0.20102985707496682
2023-01-16,0.22021687030792236,0.607064962387085,0.3484460413455963,0.33062949776649475,0.5210436582565308,0.40548020601272583,0,0,0.15585999608440765
2023-01-17,0.23128138482570648,0.4921404719352722,0.2535604238510132,0.3143880367279053,0.49635741114616394,0.3575455456972122,0,0,0.12845489736171684
2023-01-18,0.5107676982879639,0.6058793067932129,0.2280203253030777,0.4399819076061249,0.4682427644729614,0.4505784004926682,1,0,0.13937138812833824
2023-01-19,0.6865304708480835,0.8264428377151489,0.31737542152404785,0.5381042957305908,0.4830239415168762,0.5702953934669495,1,0,0.19477114244365523
2023-01-20,0.5974600315093994,0.8098743557929993,0.27716419100761414,0.5436770915985107,0.4455583691596985,0.5347468078136444,1,0,0.1962213342899385
2023-01-21,0.16592496633529663,0.5703686475753784,0.23106160759925842,0.26283925771713257,0.37040334939956665,0.3201195657253265,0,1,0.15822562208721255
2023-01-22,0.23400478065013885,0.44574519991874695,0.22167980670928955,0.3162901997566223,0.3181423246860504,0.3071724623441696,1,1,0.08953822986051563
2023-01-23,0.2865808606147766,0.429876446723938,0.19291764497756958,0.2759474515914917,0.3349734842777252,0.3040591776371002,0,0,0.08693946247913838
2023-01-24,0.3572911322116852,0.3643715977668762,0.16178815066814423,0.2908402979373932,0.3032344579696655,0.29550512731075285,1,0,0.08142762765588141
2023-01-25,0.6248223781585693,0.5411339402198792,0.20219948887825012,0.42729732394218445,0.3566078543663025,0.43041219711303713,0,0,0.16400643778048635
2023-01-26,0.5744756460189819,0.675733745098114,0.2245633751153946,0.44017326831817627,0.3974865972995758,0.4624865263700485,1,0,0.17273262385982519
2023-01-27,0.7034467458724976,0.8190529942512512,0.2910601794719696,0.5568874478340149,0.3956534266471863,0.5532201588153839,0,0,0.21610396960661757
2023-01-28,0.5119283199310303,0.7637880444526672,0.2859077751636505,0.5313539505004883,0.4074552059173584,0.500086659193039,1,1,0.17685408499849833
2023-01-29,0.5009393692016602,0.683993935585022,0.3150588274002075,0.5173415541648865,0.45330891013145447,0.49412851929664614,0,1,0.13263323868365864
2023-01-30,0.3362914025783539,0.5698958039283752,0.3567512333393097,0.3753434419631958,0.5156037211418152,0.43077712059020995,1,0,0.1049164379786461
2023-01-31,0.6432620286941528,0.6362816095352173,0.45655497908592224,0.5721331834793091,0.5524845123291016,0.5721432626247406,1,0,0.07569465682574655
2023-02-01,0.6117294430732727,0.7002807259559631,0.35949987173080444,0.511640727519989,0.5437568426132202,0.5453815221786499,0,0,0.12657890693060594
2023-02-02,0.5390688180923462,0.8158580660820007,0.3635914921760559,0.5004960298538208,0.581998884677887,0.5602026581764221,0,0,0.16469838670995465
2023-02-03,0.7487310171127319,0.8921997547149658,0.4839041829109192,0.6335945725440979,0.5385913848876953,0.659404182434082,0,0,0.16449557723049774
2023-02-04,0.620435357093811,0.8438600301742554,0.43015748262405396,0.6476701498031616,0.5420430898666382,0.616833221912384,0,1,0.15243560825758812
2023-02-05,0.5510650873184204,0.7939432859420776,0.4568241834640503,0.6215196847915649,0.5612773895263672,0.596925926208496,0,1,0.12492320243748076
2023-02-06,0.6310713291168213,0.7736749649047852,0.5550377368927002,0.6251062750816345,0.6318261027336121,0.6433432817459106,1,0,0.07968696808865991
2023-02-07,0.741496205329895,0.7670609951019287,0.5787397623062134,0.6291979551315308,0.6284946203231812,0.6689979076385498,0,0,0.08099916294743215
2023-02-08,0.6299792528152466,0.8184758424758911,0.5255383253097534,0.5666086673736572,0.623155415058136,0.6327515006065368,0,0,0.11231967851156432
2023-02-09,0.6958931684494019,0.8988415002822876,0.6092855334281921,0.6474218368530273,0.6720864176750183,0.7047056913375854,0,0,0.11315568524007497
2023-02-10,0.7434483766555786,0.9168109893798828,0.6100869178771973,0.7751971483230591,0.715050220489502,0.752118730545044,1,0,0.11099373717836386
2023-02-11,0.7163605690002441,0.8973291516304016,0.5693203210830688,0.7878350019454956,0.7231824398040771,0.7388054966926575,0,1,0.11938040144558239
2023-02-12,0.5857279300689697,0.8516862988471985,0.6221956610679626,0.7399827837944031,0.7069708704948425,0.7013127088546753,0,1,0.10459320531666405
2023-02-13,0.6463744640350342,0.8287720084190369,0.7036178112030029,0.6923825740814209,0.7196483612060547,0.7181590437889099,1,0,0.06757652280336311
