Date,Close,SMA_200,Trend_Up,AI_Prob,Actual_Return,Raw_Pos,Final_Pos,Block_Reason,Raw_AI_PnL,Hybrid_PnL
2023-01-22,22707.88,19588.67715,1,0.22161038,0.009142992475145141,-1,0,Blocked Short (Bull Market),-0.009142992475145141,0.0
2023-01-23,22916.45,19595.1345,1,0.21735676,-0.012450835212587299,-1,0,Blocked Short (Bull Market),0.012450835212587299,-0.0
2023-01-24,22632.89,19600.3252,1,0.21594779,0.018736119160646474,-1,0,Blocked Short (Bull Market),-0.018736119160646474,0.0
2023-01-25,23060.94,19607.67075,1,0.22572811,-0.0022265840828143047,-1,0,Blocked Short (Bull Market),0.0022265840828143047,-0.0
2023-01-26,23009.65,19618.40665,1,0.2201469,0.0027996835390564157,-1,0,Blocked Short (Bull Market),-0.0027996835390564157,0.0
2023-01-27,23074.16,19633.959400000003,1,0.23216453,-0.002237034511835935,-1,0,Blocked Short (Bull Market),0.002237034511835935,-0.0
2023-01-28,23022.6,19652.42865,1,0.2271611,0.03078192520585222,-1,0,Blocked Short (Bull Market),-0.03078192520585222,0.0
2023-01-29,23742.3,19669.9658,1,0.23126948,-0.0393514588233174,-1,0,Blocked Short (Bull Market),0.0393514588233174,-0.0
2023-01-30,22826.15,19681.15235,1,0.21372251,0.013013096440887308,-1,0,Blocked Short (Bull Market),-0.013013096440887308,0.0
2023-01-31,23125.13,19692.627800000002,1,0.25767598,0.025932253556535844,-1,0,Blocked Short (Bull Market),-0.025932253556535844,0.0
2023-02-01,23732.66,19705.3131,1,0.24447641,-0.010322486493569127,-1,0,Blocked Short (Bull Market),0.010322486493569127,-0.0
2023-02-02,23488.94,19718.767,1,0.24650624,-0.002431330219096245,-1,0,Blocked Short (Bull Market),0.002431330219096245,-0.0
2023-02-03,23431.9,19723.7636,1,0.26253814,-0.004493712909870792,-1,0,Blocked Short (Bull Market),0.004493712909870792,-0.0
2023-02-04,23326.84,19723.4147,1,0.2535419,-0.017031632139821246,-1,0,Blocked Short (Bull Market),0.017031632139821246,-0.0
