Date,Actual_Ret,Prob,Position,Strat_Ret
2023-01-11,0.04911903051513352,0.52202606,0.052862548828125,0.002596557148996408
2023-01-12,0.055893048509553726,0.52353394,0.056481456756591795,0.0031569208023864465
2023-01-13,0.050146827684418194,0.52521443,0.060514640808105466,0.0030346172649885262
2023-01-14,-0.003988871656173911,0.5273231,0.06557550430297851,-0.00026157227045346134
2023-01-15,0.014939473685250641,0.5291851,0.07004427909851074,0.0010464246643945526
2023-01-16,-0.0024026215431750143,0.5308765,0.07410364151000977,-0.00017804300551966772
2023-01-17,-0.021876742420547574,0.532156,0.07717437744140625,-0.0016883239767517618
2023-01-18,0.018880985981668756,0.5332117,0.07970809936523438,0.0015049675067404504
2023-01-19,0.0729936990967774,0.5332242,0.07973814010620117,0.005820381805448726
2023-01-20,0.0051193975233281225,0.53373086,0.08095407485961914,0.00041443609033965363
2023-01-21,-0.0033267835189935463,0.5345417,0.08290014266967773,-0.0002757908283556975
2023-01-22,0.009142992475145141,0.53493047,0.08383312225341796,0.0007664856059309231
2023-01-23,-0.012450835212587299,0.53524315,0.08458356857299805,-0.0010531360739949765
2023-01-24,0.018736119160646474,0.5352967,0.08471202850341797,0.0015871746603801197
2023-01-25,-0.0022265840828143047,0.53492594,0.08382225036621094,-0.0001866372884510808
2023-01-26,0.0027996835390564157,0.53461975,0.0830873966217041,0.0002326184166248366
2023-01-27,-0.002237034511835935,0.534362,0.082468843460083,-0.00018448564897140092
2023-01-28,0.03078192520585222,0.53420293,0.08208703994750977,0.002526797124034049
2023-01-29,-0.0393514588233174,0.5344266,0.08262391090393066,-0.003251371427757473
2023-01-30,0.013013096440887308,0.53461695,0.08308067321777343,0.001081136812956729
2023-01-31,0.025932253556535844,0.53367114,0.08081073760986328,0.002095604537789662
2023-02-01,-0.010322486493569127,0.53292453,0.07901887893676758,-0.0008156713105617573
2023-02-02,-0.002431330219096245,0.5324776,0.07794628143310546,-0.00018951314951448986
2023-02-03,-0.004493712909870792,0.53173417,0.07616200447082519,-0.00034225018273218415
2023-02-04,-0.017031632139821246,0.5312575,0.07501802444458007,-0.0012776793961962057
2023-02-05,-0.007457673107036351,0.5307864,0.07388734817504883,-0.0005510276894352931
2023-02-06,0.020779401555923737,0.5298877,0.07173042297363282,0.0014905152627453734
2023-02-07,-0.01201050031064175,0.52884257,0.06922216415405273,-0.0008313928240755446
2023-02-08,-0.052141700352517424,0.52827984,0.06787161827087403,-0.00353894158232036
2023-02-09,-0.007883685677702989,0.5273292,0.06559009552001953,-0.000517091696650349
2023-02-10,0.010916288456747329,0.5257614,0.06182742118835449,0.0006749259642288894
2023-02-11,-0.0036204886304742638,0.524284,0.05828161239624023,-0.00021100791504629566
2023-02-12,-0.00043941906477148134,0.52326787,0.05584287643432617,-2.4538424536921e-05
2023-02-13,0.01936986197704005,0.52240825,0.05377979278564453,0.0010417071634117488
2023-02-14,0.09138049119365944,0.52151525,0.05163660049438477,0.004718577916747638
2023-02-15,-0.033711393282664585,0.5211016,0.05064382553100586,-0.001707273919814388
2023-02-16,0.043770785975072134,0.52232707,0.053584957122802736,0.0023454556897056157
2023-02-17,0.002519415209186526,0.5224583,0.053899955749511716,0.00013579636828980055
2023-02-18,-0.014730846119734737,0.52291447,0.054994726181030275,-0.0008101188487697041
2023-02-19,0.023230285350592204,0.5235101,0.05642423629760742,0.0013107511098826626
2023-02-20,-0.015825264394064464,0.52401733,0.0576416015625,-0.0009121935848238818
2023-02-21,-0.011101316717520895,0.52475274,0.05940656661987304,-0.0006594911111477154
2023-02-22,-0.01005818454576867,0.52497023,0.059928560256958,-0.0006027725186267015
2023-02-23,-0.032041028461487375,0.52509165,0.060219955444335935,-0.0019295093063414694
2023-02-24,-0.0012178923770018468,0.525071,0.06017045974731445,-7.328114424695073e-05
2023-02-25,0.01703161058168721,0.5244906,0.05877742767333984,0.0010010742591256097
2023-02-26,-0.0026679753126395687,0.52365774,0.05677857398986816,-0.00015148383369184738
2023-02-27,-0.015033201397948169,0.5235735,0.05657644271850586,-0.0008505250577667767
2023-02-28,0.020842934243896633,0.52307004,0.05536808967590332,0.001154033452325025
2023-03-01,-0.006949915104728103,0.5223952,0.053748464584350585,-0.0003735472658707216
2023-03-02,-0.048503100831987105,0.5222422,0.053381252288818355,-0.0025891562623022992
2023-03-03,-0.00034764393289772876,0.5218302,0.05239248275756836,-1.8213928760117506e-05
2023-03-04,0.003737206709584325,0.5206573,0.04957752227783203,0.00018528144890128022
2023-03-05,-0.000902760617454153,0.51990736,0.047777652740478516,-4.313178328850449e-05
2023-03-06,-0.009506895048812334,0.51933223,0.04639735221862793,-0.0004410947580852758
2023-03-07,-0.022437472391169118,0.51903135,0.045675230026245114,-0.0010248367126741735
2023-03-08,-0.06388169730657518,0.5185139,0.044433403015136715,-0.0028384812017140286
2023-03-09,-0.010442692083692516,0.5175919,0.042220544815063474,-0.00044089614910944845
2023-03-10,0.015024507857790617,0.5158578,0.03805875778198242,0.0005718141053531447
2023-03-11,0.07264804225261712,0.5142728,0.03425474166870117,0.002488539920100287
2023-03-12,0.0918599391330703,0.51328623,0.031886959075927736,0.0029291341198534257
2023-03-13,0.022833529552860565,0.51389074,0.03333778381347656,0.0007612192719318936
2023-03-14,-0.015718497080592527,0.5156139,0.03747339248657226,-0.0005890254104000841
2023-03-15,0.028940970979109415,0.5171727,0.0412144660949707,0.001192786667174036
2023-03-16,0.0915382366931726,0.51822615,0.04374275207519531,0.004004134393069995
2023-03-17,-0.017960573857961144,0.5194686,0.04672465324401855,-0.0008392015855768189
