Date,Actual_Return_Daily,Target,LSTM_Prob,LSTM_Return,RF_Prob,RF_Return,XGB_Prob,XGB_Return
2023-01-06,-0.0004177703515806188,0,0.51588774,-0.0,0.5739524307260966,-2.2236923123670598e-05,0.58721036,-3.454528741425774e-05
2023-01-07,0.010816215147354305,1,0.52338374,0.0,0.5999875546463299,0.0012015025460996316,0.65551805,0.0025362353776253186
2023-01-08,0.0029400048985379155,1,0.49594027,0.0,0.5545345799763982,2.9625971874272352e-05,0.64305186,0.0006079397811965794
2023-01-09,0.015159630933365425,1,0.48549724,0.0,0.6128246470669307,0.002116441029008018,0.61914825,0.002329470896354457
2023-01-10,0.02841029515457346,1,0.50557774,0.0,0.554917933395947,0.00031048875406530226,0.5756574,0.0016198550457621353
2023-01-11,0.04911903051513352,1,0.5208276,0.0,0.6016755538433438,0.0056405624580391734,0.64774173,0.010668842075092081
2023-01-12,0.055893048509553726,1,0.5355371,0.0,0.6238924033170324,0.009177937073525336,0.6925522,0.017705949875399665
2023-01-13,0.050146827684418194,1,0.55149,0.00016604138048842185,0.6295755254038577,0.0088676892451651,0.63695806,0.009690379049852427
2023-01-14,-0.003988871656173911,0,0.5532001,-2.836631847283934e-05,0.6055418349996027,-0.0004923316696928957,0.64492434,-0.0008414244290209519
2023-01-15,0.014939473685250641,1,0.52439886,0.0,0.6013490216448724,0.0017047274613931904,0.67764705,0.004237732805842
2023-01-16,-0.0024026215431750143,0,0.49153996,-0.0,0.5694596697851086,-0.00010389827077505296,0.6771494,-0.0006788709018200792
2023-01-17,-0.021876742420547574,0,0.5016437,-0.0,0.5653481516997957,-0.0007461501363731527,0.6364063,-0.00420064035881145
2023-01-18,0.018880985981668756,1,0.5177566,0.0,0.5828676471839882,0.0013790524127362555,0.6721865,0.005126669763493423
2023-01-19,0.0729936990967774,1,0.5346001,0.0,0.5457224153043305,0.0,0.63770753,0.014226881367769005
2023-01-20,0.0051193975233281225,1,0.55233806,2.6598704026751815e-05,0.6047304107403965,0.0006226371759891474,0.70527107,0.0017664316742440158
2023-01-21,-0.0033267835189935463,0,0.5666855,-0.0001233533317742053,0.5870069280899382,-0.00027358675212930093,0.5984362,-0.0003580814137897238
2023-01-22,0.009142992475145141,1,0.54701436,0.0,0.5934281902700257,0.0008823635929955909,0.609044,0.0011996419546238483
2023-01-23,-0.012450835212587299,0,0.5191387,-0.0,0.5857397399883331,-0.0009888658069676693,0.61825025,-0.001888383407480255
2023-01-24,0.018736119160646474,1,0.5222396,0.0,0.5681679892476875,0.0007564391365644812,0.63336,0.003470762758600372
2023-01-25,-0.0022265840828143047,0,0.5326908,-0.0,0.5610393932526015,-5.462252733371143e-05,0.57603395,-0.00012881500494446474
2023-01-26,0.0027996835390564157,1,0.5453657,0.0,0.5765474680191917,0.0001651655760376831,0.5902952,0.00025069725671361616
2023-01-27,-0.002237034511835935,0,0.55156374,-7.773584845068157e-06,0.5676519636879014,-8.775122660335561e-05,0.6358079,-0.0004265670014325034
2023-01-28,0.03078192520585222,1,0.56427777,0.0009766596850946405,0.5501346959504008,9.213779268369247e-06,0.5849185,0.0023885740326385495
2023-01-29,-0.0393514588233174,0,0.5419154,-0.0,0.5905432231121668,-0.0035454110552511106,0.64264894,-0.008101934052007514
2023-01-30,0.013013096440887308,1,0.53208125,0.0,0.5362706771095056,0.0,0.6425284,0.0026757357066867896
2023-01-31,0.025932253556535844,1,0.53790915,0.0,0.5704576647901771,0.0011789185566966392,0.59284586,0.0024690873610949916
