Date,Actual_Ret,Prob,SMA_50,Close,ATR,Position,Strat_Ret
2023-01-11,0.04911903051513352,0.52422047,16897.0916,17943.26,0.01830276947481828,0.0,0.0
2023-01-12,0.055893048509553726,0.52602625,16941.9618,18846.62,0.020823504875097206,0.1561574935913086,0.008728118364429336
2023-01-13,0.050146827684418194,0.5280688,17008.583,19930.01,0.022893562037630544,0.1684126853942871,0.008445361914337448
2023-01-14,-0.003988871656173911,0.53053755,17097.238599999997,20954.92,0.024888277054105953,0.18322527408599854,-0.0007308621024963357
2023-01-15,0.014939473685250641,0.5327046,17185.4972,20871.5,0.024913138934795367,0.1962275505065918,0.002931536327114419
2023-01-16,-0.0024026215431750143,0.53469265,17280.6346,21185.65,0.025698795210803267,0.20815587043762207,-0.0005001197786517779
2023-01-17,-0.021876742420547574,0.53626496,17379.0726,21134.81,0.026645052978105807,0.21758973598480225,-0.0047601546074944705
2023-01-18,0.018880985981668756,0.53765583,17463.771399999998,20677.47,0.029582389907326336,0.2259349822998047,0.004265875233571191
2023-01-19,0.0729936990967774,0.53782123,17541.930399999997,21071.59,0.028761700801483898,0.22692739963531494,0.01656427032579433
2023-01-20,0.0051193975233281225,0.53866935,17655.7272,22667.21,0.03079767133383427,0.23201608657836914,0.0011877825790015863
2023-01-21,-0.0033267835189935463,0.53994524,17769.5434,22783.55,0.03142952038157549,0.2396714687347412,-0.000797335092159714
2023-01-22,0.009142992475145141,0.54083025,17885.997,22707.88,0.031755271858319584,0.2449815273284912,0.0022398642609139587
2023-01-23,-0.012450835212587299,0.5412911,18002.212000000003,22916.45,0.031338167671318064,0.24774670600891113,-0.003084653410978264
2023-01-24,0.018736119160646474,0.5413538,18115.5428,22632.89,0.031671178483133874,0.2481229305267334,0.004648860792837684
2023-01-25,-0.0022265840828143047,0.540602,18234.9824,23060.94,0.033560965871075155,0.2436121702194214,-0.0005424229805904127
2023-01-26,0.0027996835390564157,0.540126,18358.4426,23009.65,0.032575700269339966,0.24075615406036377,0.0006740410414493308
2023-01-27,-0.002237034511835935,0.53956944,18475.4438,23074.16,0.03315192963573427,0.23741662502288818,-0.0005311091838598119
2023-01-28,0.03078192520585222,0.539184,18593.3246,23022.6,0.03181633970039305,0.23510384559631348,0.00723694899075395
2023-01-29,-0.0393514588233174,0.53950036,18725.620799999997,23742.3,0.03163495777284034,0.23700213432312012,-0.009326379729854601
