Date,Actual_Ret,Prob,ATR_Pct,Close,SMA_50,Position,Strat_Ret
2023-01-11,0.04911903051513352,0.5257404,0.01830276947481828,17943.26,16897.0916,0.0,0.0
2023-01-12,0.055893048509553726,0.5296023,0.020823504875097206,18846.62,16941.9618,0.1776137351989746,0.009927373117439318
2023-01-13,0.050146827684418194,0.53466326,0.022893562037630544,19930.01,17008.583,0.20797955989837646,0.010429515152105016
2023-01-14,-0.003988871656173911,0.54021907,0.024888277054105953,20954.92,17097.238599999997,0.24131441116333008,-0.0009625722149157046
2023-01-15,0.014939473685250641,0.54545814,0.024913138934795367,20871.5,17185.4972,0.27274882793426514,0.004074723937606909
2023-01-16,-0.0024026215431750143,0.54935277,0.025698795210803267,21185.65,17280.6346,0.29611659049987793,-0.0007114560996265405
2023-01-17,-0.021876742420547574,0.5530467,0.026645052978105807,21134.81,17379.0726,0.3182802200317383,-0.006962934391189545
2023-01-18,0.018880985981668756,0.55564237,0.029582389907326336,20677.47,17463.771399999998,0.33385419845581055,0.006303496440965417
2023-01-19,0.0729936990967774,0.55597854,0.028761700801483898,21071.59,17541.930399999997,0.33587121963500977,0.024516482741305537
2023-01-20,0.0051193975233281225,0.55762994,0.03079767133383427,22667.21,17655.7272,0.3457796573638916,0.0017701835215259535
2023-01-21,-0.0033267835189935463,0.56008625,0.03142952038157549,22783.55,17769.5434,0.3605175018310547,-0.0011993636834002784
2023-01-22,0.009142992475145141,0.56168306,0.031755271858319584,22707.88,17885.997,0.370098352432251,0.0033838064513516852
2023-01-23,-0.012450835212587299,0.5628184,0.031338167671318064,22916.45,18002.212000000003,0.3769104480743408,-0.004692849878876059
2023-01-24,0.018736119160646474,0.56300896,0.031671178483133874,22632.89,18115.5428,0.37805378437042236,0.007083260753097581
2023-01-25,-0.0022265840828143047,0.5620706,0.033560965871075155,23060.94,18234.9824,0.3724236488342285,-0.0008292325685579174
2023-01-26,0.0027996835390564157,0.5613003,0.032575700269339966,23009.65,18358.4426,0.3678016662597656,0.0010297282706649873
2023-01-27,-0.002237034511835935,0.5602709,0.03315192963573427,23074.16,18475.4438,0.36162543296813965,-0.0008089685739073409
2023-01-28,0.03078192520585222,0.55962527,0.03181633970039305,23022.6,18593.3246,0.35775160789489746,0.011012283236494103
2023-01-29,-0.0393514588233174,0.55977535,0.03163495777284034,23742.3,18725.620799999997,0.35865211486816406,-0.01411348393013026
2023-01-30,0.013013096440887308,0.56034935,0.034623937123153516,22826.15,18840.4428,0.36209607124328613,0.004711991095955284
