Date,Actual_Ret,Prob,ATR_Pct,Position,Strat_Ret
2023-01-11,0.04911903051513352,0.5220636,0.01830276947481828,0.0,0.0
2023-01-12,0.055893048509553726,0.52343255,0.020823504875097206,0.14059531688690186,0.007858300866975684
2023-01-13,0.050146827684418194,0.5248249,0.022893562037630544,0.1489495038986206,0.007469345105683704
2023-01-14,-0.003988871656173911,0.5267241,0.024888277054105953,0.16034460067749023,-0.0006395940328629649
2023-01-15,0.014939473685250641,0.5284072,0.024913138934795367,0.17044329643249512,0.0025463331418806353
2023-01-16,-0.0024026215431750143,0.53013355,0.025698795210803267,0.18080127239227295,-0.00043439703208312895
2023-01-17,-0.021876742420547574,0.531338,0.026645052978105807,0.18802785873413086,-0.004113437033413687
2023-01-18,0.018880985981668756,0.53238106,0.029582389907326336,0.19428634643554688,0.0036683177834792
2023-01-19,0.0729936990967774,0.5323049,0.028761700801483898,0.19382929801940918,0.014148317455768345
2023-01-20,0.0051193975233281225,0.5328317,0.03079767133383427,0.19699037075042725,0.0010084720161392259
2023-01-21,-0.0033267835189935463,0.5336865,0.03142952038157549,0.2021191120147705,-0.000672406530724349
2023-01-22,0.009142992475145141,0.5342617,0.031755271858319584,0.20557022094726562,0.0018795269832347736
2023-01-23,-0.012450835212587299,0.5346477,0.031338167671318064,0.2078862190246582,-0.00258835705604385
2023-01-24,0.018736119160646474,0.5348069,0.031671178483133874,0.2088414430618286,0.0039128781628877864
2023-01-25,-0.0022265840828143047,0.5343472,0.033560965871075155,0.20608305931091309,-0.0004588612595993554
2023-01-26,0.0027996835390564157,0.53412175,0.032575700269339966,0.20473051071166992,0.0005731806407820755
2023-01-27,-0.002237034511835935,0.5338696,0.03315192963573427,0.2032177448272705,-0.0004546051085960727
2023-01-28,0.03078192520585222,0.5337316,0.03181633970039305,0.20238947868347168,0.006229937795286048
2023-01-29,-0.0393514588233174,0.53402114,0.03163495777284034,0.20412683486938477,-0.008032688737096704
2023-01-30,0.013013096440887308,0.5342816,0.034623937123153516,0.2056896686553955,0.0026766594951068167
2023-01-31,0.025932253556535844,0.5330349,0.03360455354576144,0.19820952415466309,0.005140019637699039
2023-02-01,-0.010322486493569127,0.53231627,0.033572949987154606,0.19389760494232178,-0.002001505408152519
2023-02-02,-0.002431330219096245,0.5319356,0.03421005282287835,0.19161343574523926,-0.0004658755367122568
2023-02-03,-0.004493712909870792,0.5311632,0.033401755774924845,0.1869792938232422,-0.0008402312665320274
2023-02-04,-0.017031632139821246,0.5307009,0.032177788746023284,0.1842055320739746,-0.0031373208604039793
2023-02-05,-0.007457673107036351,0.53035665,0.03254278204560208,0.18213987350463867,-0.0013583396363545466
2023-02-06,0.020779401555923737,0.52951026,0.03210800973774404,0.1770615577697754,0.0036792332090155515
2023-02-07,-0.01201050031064175,0.5284957,0.03105925669409149,0.17097437381744385,-0.002053487769846188
2023-02-08,-0.052141700352517424,0.52798885,0.031634612098885635,0.16793310642242432,-0.008756317714345468
2023-02-09,-0.007883685677702989,0.52707756,0.035284160516873046,0.16246533393859863,-0.0012808256262949633
2023-02-10,0.010916288456747329,0.52542984,0.034632286491108936,0.15257906913757324,0.0016655971311677433
2023-02-11,-0.0036204886304742638,0.5240613,0.03281092579894658,0.14436793327331543,-0.0005226824610211056
2023-02-12,-0.00043941906477148134,0.5233018,0.03208614189473492,0.1398106813430786,-6.14354788408392e-05
2023-02-13,0.01936986197704005,0.5225826,0.031591675815287844,0.13549554347991943,0.0026245299757100683
2023-02-14,0.09138049119365944,0.5217668,0.031302351145881625,0.1306006908416748,0.011934355279343504
2023-02-15,-0.033711393282664585,0.52142555,0.033378233335235395,0.12855327129364014,-0.004333709886352978
2023-02-16,0.043770785975072134,0.52266896,0.03735593421001308,0.13601374626159668,0.005953428577284116
2023-02-17,0.002519415209186526,0.5227307,0.038091165801654905,0.1363842487335205,0.0003436085505527097
2023-02-18,-0.014730846119734737,0.52313566,0.036577593657111225,0.13881397247314453,-0.0020448472677709858
2023-02-19,0.023230285350592204,0.52384496,0.03741013352575071,0.14306974411010742,0.0033235509807140037
2023-02-20,-0.015825264394064464,0.5242348,0.037621832356015954,0.14540863037109375,-0.0023011300208013504
2023-02-21,-0.011101316717520895,0.5248769,0.038709925505880094,0.14926135540008545,-0.0016569975799827963
2023-02-22,-0.01005818454576867,0.5250244,0.03900859586079482,0.150146484375,-0.001510201048742122
2023-02-23,-0.032041028461487375,0.5250729,0.03954696863685744,0.15043723583221436,-0.0048201637549674685
2023-02-24,-0.0012178923770018468,0.52501655,0.04189562310931145,0.1500992774963379,-0.00018280476585627475
2023-02-25,0.01703161058168721,0.5244738,0.04048389735760779,0.14684271812438965,0.002500967991851067
2023-02-26,-0.0026679753126395687,0.5238646,0.03887024717923789,0.1431877613067627,-0.0003820214122385701
2023-02-27,-0.015033201397948169,0.52387464,0.0385959606677589,0.1432478427886963,-0.0021534736704640887
2023-02-28,0.020842934243896633,0.5234251,0.038169182006248865,0.1405506134033203,0.002929487193104742
2023-03-01,-0.006949915104728103,0.52281165,0.03767409958479096,0.1368699073791504,-0.0009512342366770937
2023-03-02,-0.048503100831987105,0.52270615,0.03705660765777659,0.13623690605163574,-0.006607912391260443
2023-03-03,-0.00034764393289772876,0.52237946,0.04093135202782073,0.13427674770355225,-4.668049666837897e-05
2023-03-04,0.003737206709584325,0.52122986,0.038829332895910465,0.1273791790008545,0.00047604232242333617
2023-03-05,-0.000902760617454153,0.5206394,0.03742715597003024,0.12383651733398438,-0.00011179473085179965
