Date,btc_close,spy_close,gold_close,nvda_close,dxy_close,vix_close,is_weekend,btc_log_return,us10y_level,btc_volume_ratio,btc_rsi_30,btc_roll_vol_30,btc_stoch_rsi_30,btc_macd_hist,btc_atr_30_ratio,btc_bollinger_pb,btc_close_to_sma50,btc_momentum_30d,btc_rv_skew_5_30,btc_vwpd_30,btc_return_ac1_30,target
2015-01-01,314.2489929199219,170.2161865234375,1183.9000244140625,0.4810657799243927,90.2699966430664,19.200000762939453,0,-0.0187382748822116,2.1700000762939453,-0.8008227254266698,0.4617192269600001,0.0234480733831599,0.1200987397663489,0.187532257961223,0.0390624166486454,0.2324863127436439,0.8892797333417948,-0.175880857275711,-0.170755384872218,-1.7426498947580231,-0.0853596391028498,1
2015-01-02,315.0320129394531,170.1250762939453,1186.0,0.4829853177070617,91.08000183105467,17.790000915527344,0,0.0024886192856885,2.122999906539917,-0.8126973042656578,0.4640647315388954,0.0234209043250137,0.1339580835107857,0.4144876767332004,0.0379070908980988,0.2553293349820033,0.8968610266755819,-0.1599370557166117,-0.1745282399254727,-1.617468980543947,-0.0846423140160897,0
2015-01-03,281.0820007324219,170.1250762939453,1186.0,0.4829853177070617,91.08000183105467,17.790000915527344,1,-0.1140278177246473,2.122999906539917,0.5893299615178518,0.3846245806044276,0.0306329396944427,0.0,-1.5359809962861508,0.0451095480478752,-0.0763874760485604,0.8055634543468982,-0.2395049897681349,0.7901185362851613,-3.875046050945623,-0.1124980731257888,0
2015-01-04,264.19500732421875,170.1250762939453,1186.0,0.4829853177070617,91.08000183105467,17.790000915527344,1,-0.0619589497412439,2.122999906539917,1.0389267234406592,0.3508635112835203,0.0316054566645279,0.0,-3.656547306683679,0.0501300149466927,-0.1707995460674276,0.7620558474976845,-0.2989459987535582,0.792040572927182,-4.424760050686987,0.1195153370297693,1
2015-01-05,274.4739990234375,167.05262756347656,1203.9000244140625,0.4748275279998779,91.37999725341795,19.920000076293945,0,0.0381690406620096,2.0390000343322754,0.742864642252294,0.3852515235480043,0.0328871371073614,0.1201204759588991,-4.0305602149738,0.0483621870468297,-0.0214739623061136,0.7969187753847424,-0.2676494621143063,0.7929895450502005,-3.3415642368785234,0.0216035552384336,1
2015-01-06,286.1889953613281,165.47909545898438,1219.300048828125,0.4604315459728241,91.5,21.1200008392334,0,0.0417958802770686,1.9630000591278076,0.0792897790123841,0.420053542535669,0.0341933616511513,0.2868291834983363,-3.18943198920576,0.0465668636969253,0.1151665690823363,0.8358453833448184,-0.2370226357857096,0.9782075687776182,-2.31836452554566,0.095977218914477,1
2015-01-07,294.3370056152344,167.54124450683594,1210.5999755859375,0.4592318832874298,91.88999938964844,19.309999465942383,0,0.0280729729527459,1.9539999961853027,0.1374816529677698,0.4420026712839277,0.034456163379727,0.4337839748113683,-1.8511375313900107,0.0455436879425955,0.2169300224968032,0.8637220996265116,-0.1867098955952061,1.0475547824486533,-1.534908009263616,0.1544808900350212,0
2015-01-08,283.3489990234375,170.5142822265625,1208.4000244140625,0.4765071272850036,92.37000274658205,17.010000228881836,0,-0.0380460385082329,2.0160000324249268,-0.0611031261064371,0.4197313936402269,0.0347336154332998,0.3315705991985742,-1.4883812909301923,0.0471635813644727,0.1254942138389639,0.8362489240211545,-0.1955317466203735,0.3856431460069467,-2.143635463095104,0.1038307664942604,1
2015-01-09,290.4079895019531,169.14776611328125,1216.0,0.4784266054630279,91.94000244140624,17.549999237060547,0,0.0246074446725228,1.9709999561309814,-0.1300308832685937,0.4386561180005629,0.0351616536338386,0.4226853827681229,-0.6009802733621648,0.0456977645349038,0.220265023693358,0.8605071788026171,-0.1615550136708603,-0.0724126224219207,-1.5125720109759182,0.0687084237576872,0
2015-01-10,274.7959899902344,169.14776611328125,1216.0,0.4784266054630279,91.94000244140624,17.549999237060547,1,-0.0552578268559313,1.9709999561309814,-0.3068221312797993,0.4077631916968316,0.0361162367214266,0.2739486170219337,-0.8767009632642448,0.0486786419110874,0.0839618639406418,0.8179337215706873,-0.2160020638409818,0.2101727454330628,-2.4463783695550134,0.0304535199586458,0
2015-01-11,265.6600036621094,169.14776611328125,1216.0,0.4784266054630279,91.94000244140624,17.549999237060547,1,-0.0338116582860217,1.9709999561309814,-0.1328172450690708,0.3903612586323794,0.0363137651039834,0.1951097280942102,-1.4517078607621574,0.0505060560791312,0.0258025155856015,0.7948693800193476,-0.246444368190846,0.0602628429422296,-2.9373719338810647,0.0540348212468236,1
2015-01-12,267.7959899902344,167.82278442382812,1232.699951171875,0.4724282324314117,91.9800033569336,19.600000381469727,0,0.0080081497581002,1.9119999408721924,-0.1076507677294154,0.3966698654832184,0.0364362707100402,0.2262727854819883,-1.4614990459195738,0.0493047864511067,0.0800191295742192,0.806073243775002,-0.2290889856175321,-0.0766250681698487,-2.679359081048216,0.0445941188200514,0
2015-01-13,225.86099243164065,167.35073852539062,1234.300048828125,0.4717083573341369,92.30999755859376,20.559999465942383,0,-0.1703057269491353,1.8899999856948853,1.1510652497107785,0.3231112828918327,0.0466390929902435,0.0,-3.925686884364658,0.0636491936069633,-0.2229449588634208,0.6860861249621334,-0.3576779138359545,0.646457200834796,-4.750619303039628,-0.0174123053867299,0
2015-01-14,178.10299682617188,166.34039306640625,1234.4000244140625,0.473627895116806,92.16000366210938,21.479999542236328,0,-0.2375577154953052,1.8370000123977661,1.3340186187890215,0.2549023658601804,0.0618966659502391,0.0,-8.161728894429093,0.088198259313116,-0.3733161167476878,0.547575879398852,-0.4842751561579725,0.6533042492240027,-6.380125419657284,0.4047826683412521,1
2015-01-15,209.843994140625,164.81661987304688,1264.699951171875,0.4702687859535217,92.3499984741211,22.389999389648438,0,0.164002352794029,1.774999976158142,1.092804424991108,0.3525183018361417,0.0702444213638377,0.3879439285055968,-8.19423221574506,0.0806492548436915,-0.0632481078025426,0.6515140419401254,-0.358396919783286,1.2396051807891235,-3.53604008553696,-0.0482100834592244,0
2015-01-16,208.0970001220703,166.97805786132812,1276.9000244140625,0.4789064526557922,92.5199966430664,20.950000762939453,0,-0.0083600518607996,1.815000057220459,0.3364186624943563,0.3500996057052063,0.0702382456642281,0.3783315791538737,-7.708784105294363,0.0821106019610432,-0.0114911497770675,0.6526378991005191,-0.3492413455463705,1.2571835602453914,-3.3025507367245743,-0.0365873275131522,0
2015-01-17,199.25999450683597,166.97805786132812,1276.9000244140625,0.4789064526557922,92.5199966430664,20.950000762939453,1,-0.0433938406873058,1.815000057220459,-0.1372186514365307,0.3376595851329391,0.0704064647864686,0.3288926181559046,-7.359040162151395,0.085713497503391,-0.004358134704622,0.6319465285991358,-0.3601073969915592,1.209617097985352,-3.577302600856087,-0.0384117564118781,1
