Date,BTC_Close,BTC_Volume,SPX,VIX,OIL,FNG,SMA_200,Mayer_Ratio,RSI,Target
2018-02-01,9170.5400390625,9959400448,2821.97998046875,13.470000267028809,65.80000305175781,0.3,7856.521896972657,1.1672518907630325,0.32505629843887535,0
2018-02-02,8830.75,12726899712,2762.1298828125,17.309999465942383,65.44999694824219,0.15,7889.533597412109,1.119299371878792,0.3121476046428053,1
2018-02-03,9174.91015625,7263790080,2762.1298828125,17.309999465942383,65.44999694824219,0.4,7923.8137487792965,1.1578906883902265,0.34070623103589215,0
2018-02-04,8277.009765625,7073549824,2762.1298828125,17.309999465942383,65.44999694824219,0.24,7953.831647949219,1.0406317523402835,0.30511390911736985,0
2018-02-05,6955.27001953125,9285289984,2648.93994140625,37.31999969482422,64.1500015258789,0.11,7974.519997558594,0.8721866672427446,0.26176396194243534,1
2018-02-06,7754.0,13999800320,2695.139892578125,29.979999542236328,63.38999938964844,0.08,7999.951197509766,0.9692559127627771,0.3242458319695263,0
2018-02-07,7621.2998046875,9169280000,2681.659912109375,27.729999542236328,61.790000915527344,0.36,8024.007095947266,0.9498121965192224,0.31940898699745596,1
2018-02-08,8265.58984375,9346750464,2581.0,33.459999084472656,61.150001525878906,0.3,8051.683045654297,1.0265667186453837,0.36865268317566996,1
2018-02-09,8736.98046875,6784820224,2619.550048828125,29.059999465942383,59.20000076293945,0.44,8081.593647460937,1.0810962354553637,0.4027043215807665,0
2018-02-10,8621.900390625,7780960256,2619.550048828125,29.059999465942383,59.20000076293945,0.54,8111.8207495117185,1.0628810296558864,0.39707384897384346,0
2018-02-11,8129.97021484375,6122189824,2619.550048828125,29.059999465942383,59.20000076293945,0.31,8139.823350830078,0.9987895147644299,0.37306189768003456,1
2018-02-12,8926.5703125,6256439808,2656.0,25.610000610351562,59.290000915527344,0.42,8171.097302246094,1.0924567389555182,0.43287004255185396,0
2018-02-13,8598.3095703125,5696719872,2662.93994140625,24.969999313354492,59.189998626708984,0.35,8200.043800048828,1.0485687369451977,0.4152888157291773,1
2018-02-14,9494.6298828125,7909819904,2698.6298828125,19.260000228881836,60.599998474121094,0.55,8233.88469970703,1.1531166914628193,0.4776715366887278,1
2018-02-15,10166.400390625,9062540288,2731.199951171875,19.1299991607666,61.34000015258789,0.71,8270.930802001953,1.2291724636559958,0.5190843031463819,1
2018-02-16,10233.900390625,7296159744,2732.219970703125,19.459999084472656,61.68000030517578,0.67,8307.723603515626,1.2318537398492968,0.523175184862843,1
2018-02-17,11112.7001953125,8660880384,2732.219970703125,19.459999084472656,61.68000030517578,0.74,8349.69580444336,1.3309107847256885,0.5739845932233806,0
2018-02-18,10551.7998046875,8744009728,2732.219970703125,19.459999084472656,61.68000030517578,0.63,8388.901453857421,1.2578285563046547,0.5348132956244296,1
2018-02-19,11225.2998046875,7652089856,2732.219970703125,19.459999084472656,61.68000030517578,0.67,8431.004302978516,1.3314309187010867,0.572536078954296,1
2018-02-20,11403.7001953125,9926540288,2716.260009765625,20.600000381469727,61.900001525878906,0.74,8473.543354492187,1.345800654842571,0.5822007478092674,0
2018-02-21,10690.400390625,9405339648,2701.330078125,20.020000457763672,61.68000030517578,0.54,8510.730806884765,1.256108392240181,0.5305501944621297,0
2018-02-22,10005.0,8040079872,2703.9599609375,18.719999313354492,62.77000045776367,0.44,8544.686107177735,1.170903164201148,0.4859392775873744,1
2018-02-23,10301.099609375,7739500032,2747.300048828125,16.489999771118164,63.54999923706055,0.39,8579.296905517578,1.2006927517277184,0.5052919874593784,0
2018-02-24,9813.0703125,6917929984,2747.300048828125,16.489999771118164,63.54999923706055,0.31,8611.262557373047,1.1395623170376976,0.47364222061033623,0
2018-02-25,9664.73046875,5706939904,2747.300048828125,16.489999771118164,63.54999923706055,0.33,8642.87385986328,1.1182311144944657,0.46412608359684954,1
2018-02-26,10366.7001953125,7287690240,2779.60009765625,15.800000190734863,63.90999984741211,0.37,8677.80096069336,1.19462295139853,0.5138978515288213,1
2018-02-27,10725.599609375,6966179840,2744.280029296875,18.59000015258789,63.0099983215332,0.44,8713.175858154296,1.2309632886999935,0.5375476005392551,0
2018-02-28,10397.900390625,6936189952,2713.830078125,19.850000381469727,61.63999938964844,0.41,8745.741810302734,1.1889100565918806,0.5130056819663159,1
2018-03-01,10951.0,7317279744,2677.669921875,22.469999313354492,60.9900016784668,0.38,8780.130510253906,1.2472479750968206,0.5503225607215417,1
2018-03-02,11086.400390625,7620590080,2691.25,19.59000015258789,61.25,0.47,8813.936862792969,1.257826163632392,0.5592268205947889,1
2018-03-03,11489.7001953125,6690570240,2691.25,19.59000015258789,61.25,0.56,8850.475712890626,1.2982014264586785,0.5855513282433543,1
2018-03-04,11512.599609375,6084149760,2691.25,19.59000015258789,61.25,0.44,8886.155561523437,1.2955658416811788,0.5870593713412356,1
2018-03-05,11573.2998046875,6468539904,2720.93994140625,18.729999542236328,62.56999969482422,0.55,8922.363610839844,1.297111428033152,0.5913045232355222,0
2018-03-06,10779.900390625,6832169984,2728.1201171875,18.360000610351562,62.599998474121094,0.59,8955.460012207031,1.20372380379468,0.5165549650375418,0
2018-03-07,9965.5703125,8797910016,2726.800048828125,17.760000228881836,61.150001525878906,0.37,8984.319362792969,1.1092181733622155,0.45322559845929006,0
2018-03-08,9395.009765625,7186089984,2738.969970703125,16.540000915527344,60.119998931884766,0.39,9010.856112060546,1.0426323147087306,0.41484915219109797,0
2018-03-09,9337.5498046875,8704190464,2786.570068359375,14.640000343322754,62.040000915527344,0.37,9037.535161132813,1.0331965119034825,0.4110741365970273,0
2018-03-10,8866.0,5386319872,2786.570068359375,14.640000343322754,62.040000915527344,0.39,9061.362561035156,0.9784400458850155,0.38047549412933385,1
2018-03-11,9578.6298828125,6296370176,2786.570068359375,14.640000343322754,62.040000915527344,0.4,9088.498110351562,1.0539287973117022,0.44741771378458667,0
2018-03-12,9205.1201171875,6457399808,2783.02001953125,15.779999732971191,61.36000061035156,0.41,9112.850310058593,1.0101252411692818,0.4216980199113145,0
2018-03-13,9194.849609375,5991139840,2765.31005859375,16.350000381469727,60.709999084472656,0.41,9136.966557617188,1.0063350403432916,0.4209813978627491,0
2018-03-14,8269.8095703125,6438230016,2749.47998046875,17.229999542236328,60.959999084472656,0.4,9156.553605957031,0.9031574461522688,0.36140949653662974,1
2018-03-15,8300.8603515625,6834429952,2747.330078125,16.59000015258789,61.189998626708984,0.32,9176.143508300782,0.9046131791698226,0.364659484784621,1
2018-03-16,8338.349609375,5289379840,2752.010009765625,15.800000190734863,62.34000015258789,0.33,9195.921955566406,0.9067442774813561,0.3688360619172181,0
2018-03-17,7916.8798828125,4426149888,2752.010009765625,15.800000190734863,62.34000015258789,0.31,9212.611254882813,0.8593524315504405,0.34164458928246305,1
2018-03-18,8223.6796875,6639190016,2752.010009765625,15.800000190734863,62.34000015258789,0.29,9230.903154296875,0.8908857075021934,0.37761393902194484,1
2018-03-19,8630.650390625,6729110016,2712.919921875,19.020000457763672,62.060001373291016,0.29,9250.539455566406,0.9329888740090293,0.42267344852234423,1
2018-03-20,8913.4697265625,6361789952,2716.93994140625,18.200000762939453,63.400001525878906,0.37,9270.646755371094,0.9614722642083566,0.4523465580005756,1
2018-03-21,8929.2802734375,6043129856,2711.929931640625,17.860000610351562,65.16999816894531,0.36,9292.399306640626,0.9609230058652742,0.4540359407644434,0
2018-03-22,8728.4697265625,5530390016,2643.68994140625,23.34000015258789,64.30000305175781,0.36,9313.12685546875,0.9372222522059888,0.43565412625723726,1
