number,val_loss,val_accuracy,params_lookback,params_lstm_1,params_lstm_2,params_lr,params_dropout,params_batch_size
0,0.7359244227409363,0.5032557845115662,21,128,24,12,0.1,0.003967605077052989,40
1,1.3944191932678223,0.5065543055534363,28,96,40,32,0.15000000000000002,7.52374288453485e-05,32
2,2.243946075439453,0.4787430763244629,14,192,96,40,0.2,1.9634341572933304e-05,56
3,0.705166757106781,0.5110905766487122,14,128,32,48,0.4,0.006584106160121612,32
4,0.7253100872039795,0.4925093650817871,28,80,40,28,0.15000000000000002,0.002550298070162891,24
5,1.2757705450057983,0.5069767236709595,21,80,24,44,0.35,9.833181933644887e-05,56
6,1.5646381378173828,0.5046816468238831,28,128,80,28,0.30000000000000004,0.00019170041589170651,64
7,0.7481623888015747,0.4840824007987976,28,64,16,20,0.15000000000000002,0.006153085601625313,56
8,0.7565538883209229,0.49953487515449524,21,48,32,24,0.45000000000000007,0.0038211294416912265,64
9,1.4050650596618652,0.5102996230125427,28,80,96,48,0.2,0.0003102740950912838,40
10,1.0319386720657349,0.48983365297317505,14,176,64,36,0.5,0.0009964251579159956,32
11,0.8729236721992493,0.498151570558548,14,160,48,16,0.4,0.0013209245765333463,24
12,0.8263466954231262,0.49075785279273987,14,32,56,8,0.30000000000000004,0.001209860887066451,48
13,0.6935373544692993,0.49625468254089355,28,112,40,32,0.4,0.009652971926766639,24
14,0.6931504011154175,0.503696858882904,14,144,64,48,0.4,0.00976060043132464,16
15,0.6931501626968384,0.5037453174591064,28,160,72,36,0.5,0.009963897858615197,16
16,2.0272562503814697,0.503696858882904,14,160,72,40,0.5,1.176465662532036e-05,16
17,0.9597930312156677,0.4934456944465637,28,160,80,40,0.45000000000000007,0.0007814313252465931,16
18,0.7277621030807495,0.49630314111709595,14,144,64,44,0.45000000000000007,0.002196110927286915,16
0,0.7190438508987427,0.5013953447341919,21,128,24,12,0.1,0.003967605077052989,40
1,1.3582667112350464,0.5074906349182129,28,96,40,32,0.15000000000000002,7.52374288453485e-05,32
2,2.2617056369781494,0.4852125644683838,14,192,96,40,0.2,1.9634341572933304e-05,56
3,0.700708270072937,0.503696858882904,14,128,32,48,0.4,0.006584106160121612,32
4,0.7127344608306885,0.48782771825790405,28,80,40,28,0.15000000000000002,0.002550298070162891,24
5,1.2479044198989868,0.49302324652671814,21,80,24,44,0.35,9.833181933644887e-05,56
6,1.501635193824768,0.49531835317611694,28,128,80,28,0.30000000000000004,0.00019170041589170651,64
7,0.7315815687179565,0.5028089880943298,28,64,16,20,0.15000000000000002,0.006153085601625313,56
8,0.7280591130256653,0.5097674131393433,21,48,32,24,0.45000000000000007,0.0038211294416912265,64
9,1.3841456174850464,0.4906367063522339,28,80,96,48,0.2,0.0003102740950912838,40
10,0.8994112610816956,0.47504621744155884,14,176,64,36,0.5,0.0009964251579159956,32
11,0.7439172267913818,0.49537894129753113,14,160,48,16,0.4,0.0013209245765333463,24
12,0.7832371592521667,0.49630314111709595,14,32,56,8,0.30000000000000004,0.001209860887066451,48
13,0.6931864619255066,0.49625468254089355,28,112,40,32,0.4,0.009652971926766639,24
14,0.693134069442749,0.503696858882904,14,144,64,48,0.4,0.00976060043132464,16
15,0.6931302547454834,0.5037453174591064,28,160,72,36,0.5,0.009963897858615197,16
16,2.026503086090088,0.5129389762878418,14,160,72,40,0.5,1.176465662532036e-05,16
17,0.8696768879890442,0.4915730357170105,28,160,80,40,0.45000000000000007,0.0007814313252465931,16
18,0.7206899523735046,0.503696858882904,14,144,64,44,0.45000000000000007,0.002196110927286915,16
19,0.6931439638137817,0.5013953447341919,21,192,80,36,0.35,0.009939103090049741,16
20,0.9600427150726318,0.4805915057659149,14,144,64,48,0.5,0.0005525820251892089,16
21,0.6931434869766235,0.5013953447341919,21,192,80,36,0.35,0.009554905370511771,16
22,0.6941897869110107,0.5013953447341919,21,176,88,36,0.35,0.00407360539106707,16
23,0.7012225985527039,0.5013953447341919,21,176,72,32,0.25,0.002417496070984853,16
24,0.7047891020774841,0.5013953447341919,21,192,56,44,0.4,0.006181082938643355,48
25,0.6931455731391907,0.5037453174591064,28,144,72,24,0.45000000000000007,0.009978826479570234,16
26,0.6931992769241333,0.4986046552658081,21,176,88,40,0.35,0.004607204766663225,16
27,0.7186207175254822,0.4681648015975952,28,160,88,36,0.25,0.0018704422265413188,16
28,0.9822320938110352,0.48151570558547974,14,112,64,44,0.5,0.0005639120496285738,16
29,0.7364189028739929,0.5162790417671204,21,144,72,24,0.45000000000000007,0.0032328625118598193,40
30,0.7102053165435791,0.4986046552658081,21,192,48,32,0.30000000000000004,0.005483079351858689,48
31,0.6931445598602295,0.5013953447341919,21,192,80,36,0.35,0.009211553211698456,16
32,0.693145751953125,0.5013953447341919,21,176,80,32,0.35,0.007193350599185732,16
33,1.997424840927124,0.4958139657974243,21,192,88,40,0.4,4.869273177241602e-05,16
34,0.7337490320205688,0.5088372230529785,21,160,72,36,0.25,0.0035573078420719152,64
35,0.6952587962150574,0.503696858882904,14,128,80,28,0.35,0.007556733466397975,32
36,0.7510324716567993,0.5037453174591064,28,192,96,48,0.4,0.00163312198711038,16
37,0.7291234731674194,0.5013953447341919,21,176,56,28,0.30000000000000004,0.004945213598115355,56
38,0.7817633748054504,0.5065543055534363,28,128,64,40,0.1,0.002918951831927692,40
39,1.8589973449707031,0.5051162838935852,21,160,72,44,0.4,3.5860206714963525e-05,16
40,0.6932750344276428,0.503696858882904,14,96,88,20,0.35,0.0072845777446431835,24
41,0.6931942105293274,0.5013953447341919,21,192,80,36,0.35,0.009779729797426695,16
42,0.6931558847427368,0.4986046552658081,21,192,80,32,0.30000000000000004,0.004928439117061984,16
43,0.6931432485580444,0.5013953447341919,21,176,96,36,0.35,0.007765330828851538,16
44,1.8572710752487183,0.5209302306175232,21,176,96,28,0.45000000000000007,0.00013800267186532658,64
45,0.6951097249984741,0.5037453174591064,28,176,96,44,0.25,0.006115997509172461,32
46,0.7491605877876282,0.4855813980102539,21,144,48,40,0.30000000000000004,0.0037972978907485264,56
47,0.6931387186050415,0.503696858882904,14,160,88,32,0.4,0.007755766994848788,16
48,0.6931325793266296,0.503696858882904,14,160,96,32,0.4,0.007718401616342594,16
49,1.4843237400054932,0.5073937177658081,14,128,96,32,0.4,0.0002392020996206261,40
50,0.7230114340782166,0.48890942335128784,14,160,96,12,0.45000000000000007,0.0027718190934398956,24
51,0.6931519508361816,0.49630314111709595,14,144,88,24,0.4,0.006898245819057596,16
52,0.6931220293045044,0.503696858882904,14,160,88,28,0.5,0.007781529804140627,16
53,0.6955596208572388,0.503696858882904,14,160,88,20,0.5,0.005294162997805486,16
54,0.6931508779525757,0.49630314111709595,14,144,88,28,0.5,0.007058629104654604,16
55,0.6951267123222351,0.503696858882904,14,160,96,28,0.45000000000000007,0.003972466329076192,16
56,0.7133128643035889,0.503696858882904,14,160,96,32,0.5,0.00785905892574019,48
57,0.714543342590332,0.5018483996391296,14,144,16,24,0.45000000000000007,0.0021051214871086726,16
58,0.7605955600738525,0.4926062822341919,14,176,88,32,0.4,0.004724985054136352,64
59,0.7115721106529236,0.503696858882904,14,112,88,28,0.5,0.005787726355903372,32
60,0.7293171882629395,0.4870609939098358,14,128,56,32,0.45000000000000007,0.0016060411584763478,16
61,0.6931470632553101,0.5037453174591064,28,176,72,36,0.4,0.008346573289835485,16
62,0.6931580901145935,0.503696858882904,14,160,80,36,0.35,0.009873118535534103,16
63,0.6931359767913818,0.503696858882904,14,176,64,36,0.35,0.006174422876953194,16
64,0.6931536197662354,0.49630314111709595,14,176,64,40,0.4,0.005887148854269511,16
65,0.7574079036712646,0.49537894129753113,14,160,64,36,0.45000000000000007,0.0041660299314058395,56
66,0.6949847936630249,0.503696858882904,14,48,96,32,0.4,0.00336390110153153,16
67,0.6931444406509399,0.503696858882904,14,144,24,36,0.35,0.007990545117485846,16
68,0.6935355067253113,0.5037453174591064,28,160,56,48,0.5,0.00609798371059725,16
69,0.7370553016662598,0.513863205909729,14,176,72,40,0.30000000000000004,0.0026649450539835457,48
70,0.7607658505439758,0.4870609939098358,14,144,32,28,0.35,0.0010549737108081607,16
71,0.6937817931175232,0.5037453174591064,28,176,80,32,0.35,0.008033422591213082,16
72,0.6931370496749878,0.503696858882904,14,192,64,36,0.4,0.00822584200820113,16
73,0.6964879631996155,0.503696858882904,14,160,64,36,0.4,0.0046682332301166045,16
74,0.6931294798851013,0.503696858882904,14,176,64,32,0.4,0.006424589098097668,16
75,0.6958370804786682,0.48336413502693176,14,192,64,32,0.45000000000000007,0.005975591710938078,24
76,0.6931213140487671,0.503696858882904,14,160,56,32,0.4,0.009797101771366579,16
77,0.6952531933784485,0.49630314111709595,14,176,48,28,0.45000000000000007,0.009604687618562828,40
78,0.6931596994400024,0.49630314111709595,14,192,56,44,0.4,0.006569056911472718,16
79,0.8564717173576355,0.4870609939098358,14,96,64,20,0.2,0.00048352728834292043,16
80,0.7955637574195862,0.4935305118560791,14,160,56,40,0.45000000000000007,0.003206948219377328,64
81,0.6931332349777222,0.503696858882904,14,160,64,32,0.4,0.008674040977974468,16
82,0.6931380033493042,0.503696858882904,14,160,64,32,0.4,0.008826088379254242,16
83,0.6958751082420349,0.49630314111709595,14,176,56,28,0.4,0.005034761170984437,16
84,0.6931437253952026,0.503696858882904,14,144,48,24,0.4,0.006718954677717354,16
85,0.6932103037834167,0.49630314111709595,14,176,72,32,0.5,0.004377250252233793,16
86,0.7070955634117126,0.49630314111709595,14,160,72,36,0.4,0.00995863759348827,56
87,0.6960654258728027,0.49625468254089355,28,192,64,32,0.35,0.005362813474476164,32
