Date,is_weekend,btc_log_return,spy_log_return,gold_log_return,nvda_log_return,dxy_log_return,target
2015-01-03,1,-0.11402781772464736,0.0,0.0,0.0,0.0,0
2015-01-04,1,-0.061958949741243954,0.0,0.0,0.0,0.0,1
2015-01-05,0,0.03816904066200965,-0.018224574415690992,0.01498000666245465,-0.01703450426245876,0.00328834477907132,1
2015-01-06,0,0.0417958802770686,-0.00946378148198752,0.01271065639212335,-0.030787372607016073,0.0013123662030592302,1
2015-01-07,0,0.0280729729527459,0.012384127107619365,-0.00716087932157311,-0.0026087767608486247,0.004253230589119972,0
2015-01-08,0,-0.038046038508232904,0.017589500101507942,-0.0018188935745322122,0.0369270626228174,0.005210077468490509,1
2015-01-09,0,0.02460744467252288,-0.008045872778416376,0.006269592809968894,0.004020291152717527,-0.004666063406662007,0
2015-01-10,1,-0.05525782685593136,0.0,0.0,0.0,0.0,0
2015-01-11,1,-0.03381165828602173,0.0,0.0,0.0,0.0,1
2015-01-12,0,0.008008149758100299,-0.007864288082446484,0.013640062420648448,-0.012617100918882943,0.00043498167569568216,0
2015-01-13,0,-0.17030572694913534,-0.0028167742295437696,0.0012972013624871278,-0.001524793172573292,0.003581252946033692,0
2015-01-14,0,-0.23755771549530522,-0.006055607434218384,8.099451778340471e-05,0.004061043718321615,-0.0016262148701430995,1
2015-01-15,0,0.164002352794029,-0.009202630429853515,0.0242498594504341,-0.007117432713385903,0.0020594534384568565,0
2015-01-16,0,-0.008360051860799687,0.013028965742481373,0.009600383272961813,0.018200571050180483,0.0018391109574419197,0
2015-01-17,1,-0.043393840687305896,0.0,0.0,0.0,0.0,1
2015-01-18,1,0.05411005929718177,0.0,0.0,0.0,0.0,1
2015-01-19,0,0.02127073585047844,0.0,0.0,0.0,0.0,0
2015-01-20,0,-0.016641349425745678,0.0021300623757838895,0.013457421344314642,0.0030016569850221586,0.005712214805317757,1
2015-01-21,0,0.07114626123199319,0.005035879278133002,-0.0003864137138910775,0.013889227255715047,-0.0016133536404725687,1
2015-01-22,0,0.02828326756390444,0.014761384373980955,0.005396251348961029,0.017094136770698178,0.014321034990542054,0
2015-01-23,0,-0.002260455630801953,-0.005497946815934793,-0.00624686858857903,0.0029015649042788815,0.008032194365244959,1
2015-01-24,1,0.06229262485473296,0.0,0.0,0.0,0.0,1
2015-01-25,1,0.023411802380044453,0.0,0.0,0.0,0.0,1
2015-01-26,0,0.07497944406522498,0.002339049556701554,-0.010264437842764765,-0.004355179338649614,-0.002107450148027133,0
2015-01-27,0,-0.03724435725045598,-0.013278357755534915,0.009567905338056997,-0.04920258380461873,-0.00826195156099266,0
2015-01-28,0,-0.11900073718364432,-0.012907037271159615,-0.004500261174159382,-0.016435646961240735,0.004774846811117266,0
2015-01-29,0,-0.0017200206333921858,0.009200763156246189,-0.024642104059361822,0.02404791429408,0.003276066957471415,0
2015-01-30,0,-0.030823974429389264,-0.012654704163857833,0.018870738528237115,-0.029760808417194685,0.00021103779240393226,0
2015-01-31,1,-0.040380437381728564,0.0,0.0,0.0,0.0,1
2015-02-01,1,0.04279332203631927,0.0,0.0,0.0,0.0,1
2015-02-02,0,0.04840574994570224,0.012307954736066351,-0.0018006415575542159,0.0216390662981592,-0.003169606952816686,0
2015-02-03,0,-0.04710245086441019,0.0143579600195195,-0.013013315577139663,0.024667659333162593,-0.009569467318275873,0
2015-02-04,0,-0.0018277448453036722,-0.003815244899524205,0.003249535378765735,0.0024833461242402166,0.004158003722514638,0
2015-02-05,0,-0.0438935079933491,0.010044561066728647,-0.0014253298741546375,0.016236373729180367,0.007525597062564856,1
2015-02-06,0,0.02346618327569626,-0.0027691988354885525,-0.022517859410575658,-0.004402044374387805,0.0,1
2015-02-07,1,0.0243911975438062,0.0,0.0,0.0,0.0,0
2015-02-08,1,-0.01924847748019274,0.0,0.0,0.0,0.0,0
2015-02-09,0,-0.01489018780860793,-0.004485881383129386,0.005576467523877212,-0.0009808421652520447,-0.0026434063298118957,0
2015-02-10,0,-0.0012319433610069224,0.01059734918930901,-0.007442254987160046,0.027584828460100318,0.003276840197484233,0
2015-02-11,0,-0.002979369869067089,0.0005796699969478035,-0.010283266746028365,-0.006704732893635996,0.002424198578913868,1
2015-02-12,0,0.01169767654801286,0.009570627390268406,0.0009019520901303559,0.06915257144791126,-0.009519868315758748,1
2015-02-13,0,0.05978710744575146,0.0041079343545762865,0.005231782127142109,0.0004480374880630236,0.001168417088408813,1
2015-02-14,1,0.08892349379425551,0.0,0.0,0.0,0.0,0
2015-02-15,1,-0.09148384584019954,0.0,0.0,0.0,0.0,0
2015-02-16,0,-0.00419058296067406,0.0,0.0,0.0,0.0,1
2015-02-17,0,0.04091862847771824,0.0015719267676750134,-0.015115727381669742,0.003133207228830125,-0.0014872986246748715,0
2015-02-18,0,-0.03035636359272711,9.523396846312885e-05,-0.006977372496271956,-0.011686163803011544,0.0014872986246747884,1
2015-02-19,0,0.01660519034172677,-0.0007139946306715044,0.0061492836610937025,0.002708945112022776,0.0021209401296892623,1
2015-02-20,0,0.014444690551578291,0.005982570288138723,-0.002239230603391369,0.007188255093143433,-0.0015902629873061637,1
