Date,btc_close,spy_close,gold_close,nvda_close,dxy_close,vix_close,is_weekend,btc_log_return,vix_level,btc_volume_ratio,btc_rsi_14,btc_roll_vol_21,target
2014-11-24,376.9010009765625,171.1645050048828,1195.5,0.49378252029418945,88.1500015258789,12.619999885559082,0,0.02506062301536968,12.619999885559082,0.20183478998234433,0.5984307345745957,0.04402805028945408,0
2014-11-25,375.3479919433594,171.0407257080078,1197.0999755859375,0.49354222416877747,87.91999816894531,12.25,0,-0.004128981904106339,12.25,-0.00455108503346533,0.5912429133278364,0.044086902360331005,0
2014-11-26,368.3699951171875,171.4783935546875,1196.5999755859375,0.5019398927688599,87.61000061035156,12.069999694824219,0,-0.018765719594816287,12.069999694824219,-0.31732518199497045,0.5584147071496393,0.04413510177216555,1
2014-11-27,369.6700134277344,171.4783935546875,1196.5999755859375,0.5019398927688599,87.61000061035156,12.069999694824219,0,0.003522897512379116,12.069999694824219,-1.055797926071231,0.5633166395453718,0.043774644987757745,1
2014-11-28,376.4469909667969,171.114990234375,1175.199951171875,0.5031394958496094,88.36000061035156,13.329999923706055,0,0.018166490984887675,13.329999923706055,-0.11971490314829757,0.5886734806659933,0.04358028922122955,0
2014-11-29,375.4909973144531,171.114990234375,1175.199951171875,0.5031394958496094,88.36000061035156,13.329999923706055,1,-0.0025427473603651814,13.329999923706055,-0.5028815446718694,0.5835656665227869,0.04359402069237256,1
2014-11-30,378.0469970703125,171.114990234375,1175.199951171875,0.5031394958496094,88.36000061035156,13.329999923706055,1,0.006784023042740145,13.329999923706055,-0.9743619004651088,0.593695015882914,0.042303689766931094,1
2014-12-01,379.2449951171875,169.92576599121094,1218.0,0.49378252029418945,87.94999694824219,14.15999984741211,0,0.003163902586034823,14.15999984741211,-0.7196008374215022,0.5985988314367078,0.042264274306564945,1
2014-12-02,381.31500244140625,171.02418518066406,1199.199951171875,0.49450209736824036,88.6500015258789,12.850000381469727,0,0.005443390244398497,12.850000381469727,-0.5980823726601323,0.6073786776500708,0.042272656622486755,0
2014-12-03,375.010009765625,171.68482971191406,1208.5,0.5072184801101685,88.95999908447266,12.5,0,-0.01667309327292109,12.5,-0.41517800650666964,0.5665050262742996,0.02772039486864438,0
2014-12-04,369.60400390625,171.49490356445312,1207.5,0.5026599764823914,88.69999694824219,12.380000114440918,0,-0.014520545533967717,12.380000114440918,-0.2917862862618289,0.5328725619650264,0.02778558827046895,1
2014-12-05,376.85400390625,171.7756805419922,1190.0999755859375,0.5055388808250427,89.33000183105469,11.890000343322754,0,0.01942568211280815,11.890000343322754,-0.24647325818345467,0.5696791327664807,0.025827384125977255,0
2014-12-06,374.7850036621094,171.7756805419922,1190.0999755859375,0.5055388808250427,89.33000183105469,11.890000343322754,1,-0.005505316911438858,11.890000343322754,-1.0066469027504377,0.5563011489527043,0.022768977374127187,1
2014-12-07,375.0950012207031,171.7756805419922,1190.0999755859375,0.5055388808250427,89.33000183105469,11.890000343322754,1,0.0008267924847559234,11.890000343322754,-0.9876197252336085,0.5579799575947607,0.021645135691245192,0
2014-12-08,361.90899658203125,170.62779235839844,1194.699951171875,0.4990609586238861,89.04000091552734,14.210000038146973,0,-0.035786540910186744,14.210000038146973,0.11992938038365067,0.4743241634313859,0.022893431733180612,0
2014-12-09,352.218994140625,170.5121612548828,1231.5,0.49738118052482605,88.69000244140625,15.350000381469727,0,-0.027139664971795558,15.350000381469727,0.6339158928521422,0.42258059025256806,0.022609418654064274,0
