Date,BTC_LogRet,BTC_RSI,BTC_ATR,BTC_Volume_Log,SP500_LogRet,NASDAQ_LogRet,ETH_LogRet,DXY_LogRet,VIX_LogRet,MSTR_LogRet,TARGET
2016-01-31,-0.02540358060856337,45.51569638241614,16.387645176478795,17.450311289352904,0.0,0.0,0.0,0.0,0.0,0.0,0.011563538116676307
2016-02-01,0.011563538116676307,45.30545191403376,16.293073381696427,17.760130483739957,-0.00044333484554180534,0.0017255128446060385,0.0,-0.006142717149896857,-0.010950891867125737,0.004799788616388177,0.0037243945294053483
2016-02-02,0.0037243945294053483,48.02972550525132,15.879141671316964,17.513813000940733,-0.01892096871823143,-0.022044219675108768,0.0,-0.001313966445817438,0.09540117783978994,-0.00840027317555011,-0.012087764139591044
2016-02-03,-0.012087764139591044,26.95497149737129,12.896070207868304,17.64270310102413,0.0049796200215740235,-0.005051942652738923,0.0,-0.01610966529114382,-0.015127491320452543,-0.0023880058521648325,0.051739984040954964
2016-02-04,0.051739984040954964,41.29914464909132,13.259068080357142,18.053746279223326,0.0015255682925234377,-0.0010072725407712525,0.0,-0.008464126561459383,0.008737721034679501,-0.021455515266451102,-0.007846488370578702
2016-02-05,-0.007846488370578702,52.156951569022446,11.144354684012276,17.595715011589597,-0.018654158276351848,-0.03498790737104461,0.0,0.0057881046203615,0.06813776228523744,-0.07021078787986704,-0.026282180931773355
2016-02-06,-0.026282180931773355,44.464182413746585,11.264498029436384,17.712405732588252,0.0,0.0,0.0,0.0,0.0,0.0,0.0002602216956023363
2016-02-07,0.0002602216956023363,34.25694578148064,10.40549795968192,17.428488536404288,0.0,0.0,0.0,0.0,0.0,0.0,-0.008460639214485643
2016-02-08,-0.008460639214485643,37.91372547753504,9.843209402901786,17.679835923201267,-0.014255057923057347,-0.015980034752983773,0.0,-0.004752065637855208,0.1062156178729153,-0.009375263486177354,0.00689017662225599
2016-02-09,0.00689017662225599,39.634042980644274,9.640138898577009,17.828617967502886,-0.0006638406467602255,-0.0032547090538550183,0.0,-0.00519104157362651,0.020556525378710746,-0.019807782072964176,0.014835057495084155
2016-02-10,0.014835057495084155,41.73254351811172,9.971498761858259,18.259700594630758,-0.00018896813076091644,0.004670160997689249,0.0,-0.0018753944445813989,-0.009464389834236935,-0.011982517551625181,-0.00524101373583598
2016-02-11,-0.00524101373583598,49.532303598079594,9.32606942313058,18.12463850246969,-0.012377447329256216,-0.0010241682408122024,0.0,-0.003447397891271171,0.06800335643046583,-0.0038703214159903623,0.012066925497951821
2016-02-12,0.012066925497951821,53.34049714710483,8.356569562639509,18.020841794291552,0.01933001520704595,0.014275908360704172,0.0,0.004385574496247075,-0.10244287099042414,0.015457886098524007,0.01957738050316613
2016-02-13,0.01957738050316613,58.71455402144625,8.58306884765625,17.94121975048544,0.0,0.0,0.0,0.0,0.0,0.0,0.03847356761024338
2016-02-14,0.03847356761024338,72.91074821364819,8.787214006696429,18.12590424546626,0.0,0.0,0.0,0.0,0.0,0.0,-0.017451229283921166
2016-02-15,-0.017451229283921166,65.64587046228871,8.967001778738839,18.120527859836002,0.0,0.0,0.0,0.0,0.0,0.0,0.018084566484096332
2016-02-16,0.018084566484096332,67.8386359359898,9.381075177873884,18.10724459742591,0.016381737741684915,0.020962157814539327,0.0,0.009230030386127384,-0.052122441497631504,0.003023763639195319,0.021447477040665734
2016-02-17,0.021447477040665734,73.91765733979554,9.915217808314733,18.236680991775938,0.016346110625641338,0.022827706841734317,0.0,-0.0008262091716695627,-0.07759173300196279,0.027448628196517583,0.014429798757375453
2016-02-18,0.014429798757375453,69.66369847465198,9.108003888811384,18.156097833108166,-0.004676632123934705,-0.011402877464279862,0.0,0.00165165759111259,-0.030491558732908645,-0.04760310903672672,-0.003766753265904786
2016-02-19,-0.003766753265904786,70.90313653720956,9.106432233537946,17.83569357480276,-2.60332818018429e-05,0.0030303644240305605,0.0,-0.0036166247883896467,-0.05265616129669548,0.025978897594149217,0.03818639098201341
2016-02-20,0.03818639098201341,84.36041346267905,9.603216988699776,18.358721262231736,0.0,0.0,0.0,0.0,0.0,0.0,0.003730765878716895
2016-02-21,0.003730765878716895,84.62798500702435,10.5318603515625,18.31332607462446,0.0,0.0,0.0,0.0,0.0,0.0,-0.002395809974121328
2016-02-22,-0.002395809974121328,86.67761010602835,10.502077375139509,18.262683353344155,0.014350731099076084,0.016004462190011413,0.0,0.008042097127144503,-0.05764570131827683,0.008770576250457882,-0.03963782937665178
2016-02-23,-0.03963782937665178,71.89651878953255,11.765577043805804,18.26103881309873,-0.01253257757078849,-0.016376714764512218,0.0,0.00102644064438831,0.07932801799057836,-0.013086564216981084,0.00997770875420976
2016-02-24,0.00997770875420976,71.50547134692155,11.904360089983259,18.031241980185893,0.0044299600346319485,0.009116218743061247,0.0,-0.00020523517267491818,-0.012470196897080916,0.025812486588712807,-0.0009675826813181336
2016-02-25,-0.0009675826813181336,72.64839220859685,11.945286342075892,18.07534132380207,0.011284366730450844,0.009571558817545138,0.0,-0.0017458096238535813,-0.08088759406098134,0.009976862226311925,0.017761730167476383
2016-02-26,0.017761730167476383,73.45178582904045,12.31514413016183,17.93432008084975,-0.0018718653295646535,-0.0012835077035470023,0.0,0.008800717871238836,0.03597504356042947,0.002715262116643283,0.0008488879767351332
2016-02-27,0.0008488879767351332,71.42858521461959,12.210215977260045,17.550643652465638,0.0,0.0,0.0,0.0,0.0,0.0,0.002274733499287574
2016-02-28,0.002274733499287574,66.32209281691871,11.959714617047991,17.78643248056618,0.0,0.0,0.0,0.0,0.0,0.0,0.009625851196027416
