number,value,params_dropout,params_l2_factor,params_lr,params_recurrent_dropout,params_units_1,params_units_2,user_attrs_actual_epochs,user_attrs_auc_overfit_gap,user_attrs_best_val_loss,user_attrs_train_a_accuracy,user_attrs_train_a_auc,user_attrs_train_a_gini,user_attrs_train_a_sensitivity,user_attrs_train_a_specificity,user_attrs_train_b_cond_wr,user_attrs_train_b_coverage,user_attrs_train_b_n_traded,user_attrs_units_2_effective,user_attrs_val_a_accuracy,user_attrs_val_a_auc,user_attrs_val_a_gini,user_attrs_val_a_sensitivity,user_attrs_val_a_specificity,user_attrs_val_b_cond_wr,user_attrs_val_b_coverage,user_attrs_val_b_n_traded,state
115,0.49435225909636143,0.2,0.001,0.001,0.4,512,256,20,0.0548,0.69468,0.5453,0.5491,0.0982,0.973,0.0453,0.6164,0.1541,391,256,0.5303,0.4944,-0.0113,0.9563,0.0549,0.5,0.1326,46,COMPLETE
116,0.5358523257363721,0.2,1e-05,0.002,0.30000000000000004,128,256,12,0.0552,0.69022,0.5658,0.591,0.182,0.8604,0.2214,0.6328,0.3412,866,64,0.5274,0.5359,0.0717,0.8197,0.2012,0.6575,0.2104,73,COMPLETE
117,0.5280221244835399,0.2,0.001,0.002,0.4,512,256,28,0.031,0.69308,0.5437,0.5591,0.1181,0.9934,0.0179,0.5902,0.4086,1037,256,0.5331,0.528,0.056,0.9836,0.0305,0.5547,0.3948,137,COMPLETE
118,0.5108623217379714,0.2,0.0001,0.0005,0.4,512,256,25,0.0784,0.70047,0.5678,0.5893,0.1785,0.7982,0.2983,0.6186,0.4287,1088,256,0.5101,0.5109,0.0217,0.6831,0.3171,0.5345,0.3343,116,COMPLETE
119,0.5465813674530189,0.2,0.001,0.002,0.30000000000000004,512,256,26,0.0171,0.6916,0.5528,0.5637,0.1273,0.9232,0.1197,0.6156,0.2368,601,256,0.5331,0.5466,0.0932,0.847,0.1829,0.5357,0.2421,84,COMPLETE
120,0.5282220445155271,0.30000000000000004,1e-05,0.002,0.4,512,256,10,0.0164,0.69663,0.5493,0.5446,0.0892,0.8187,0.2342,0.5658,0.5,1269,256,0.5389,0.5282,0.0564,0.8142,0.2317,0.5583,0.4697,163,COMPLETE
121,0.4961848593895775,0.1,0.001,0.002,0.30000000000000004,512,64,12,0.0477,0.69346,0.5406,0.5439,0.0877,0.9985,0.0051,0.5868,0.0658,167,64,0.5274,0.4962,-0.0076,1.0,0.0,0.4783,0.0663,23,COMPLETE
122,0.507463681194189,0.2,0.001,0.002,0.30000000000000004,512,64,21,0.0465,0.69335,0.5422,0.554,0.108,0.9898,0.0188,0.6076,0.1868,474,64,0.536,0.5075,0.0149,1.0,0.0183,0.5357,0.1614,56,COMPLETE
123,0.5226242836198853,0.1,0.001,0.002,0.30000000000000004,512,128,15,0.0225,0.69296,0.5426,0.5451,0.0903,0.992,0.0171,0.6184,0.0816,207,128,0.5187,0.5226,0.0452,0.9836,0.0,0.5,0.0519,18,COMPLETE
124,0.5143942423030787,0.2,0.001,0.002,0.30000000000000004,512,64,15,0.0366,0.69362,0.5406,0.551,0.1019,0.9561,0.0547,0.6389,0.1135,288,64,0.5274,0.5144,0.0288,0.918,0.0915,0.5161,0.0893,31,COMPLETE
125,0.49127015860322537,0.2,0.001,0.002,0.2,512,256,15,0.0535,0.69331,0.5398,0.5448,0.0895,0.9993,0.0026,0.6543,0.0319,81,256,0.5274,0.4913,-0.0175,1.0,0.0,1.0,0.0144,5,COMPLETE
126,0.5038318006130882,0.1,0.001,0.002,0.30000000000000004,256,64,14,0.0427,0.69347,0.5418,0.5466,0.0931,0.9876,0.0205,0.6264,0.1403,356,64,0.536,0.5038,0.0077,0.9891,0.0305,0.4792,0.1383,48,COMPLETE
127,0.5409169665467146,0.2,0.001,0.002,0.4,512,256,28,0.0026,0.69107,0.5481,0.5436,0.0871,0.9218,0.1111,0.5756,0.2581,655,256,0.5274,0.5409,0.0818,0.8852,0.128,0.5714,0.2824,98,COMPLETE
128,0.49386911901905906,0.1,1e-05,0.002,0.30000000000000004,512,64,8,0.0598,0.69453,0.5418,0.5537,0.1073,0.9839,0.0248,0.612,0.1635,415,64,0.5331,0.4939,-0.0123,0.9891,0.0244,0.4909,0.1585,55,COMPLETE
129,0.5781020924963348,0.2,0.001,0.002,0.4,512,256,18,-0.0433,0.69137,0.5276,0.5348,0.0697,0.6937,0.3333,0.7857,0.011,28,256,0.5648,0.5781,0.1562,0.7268,0.3841,0.8,0.0144,5,COMPLETE
130,0.570505131280821,0.2,0.001,0.002,0.4,512,256,32,0.0222,0.68684,0.5784,0.5928,0.1855,0.7339,0.3966,0.6235,0.3684,935,256,0.562,0.5705,0.141,0.6831,0.4268,0.6031,0.3775,131,COMPLETE
131,0.5360855657736905,0.2,0.001,0.002,0.4,512,256,16,0.0196,0.69264,0.5544,0.5557,0.1114,0.8728,0.1821,0.5995,0.3404,864,256,0.5447,0.5361,0.0722,0.8361,0.2195,0.5462,0.3429,119,COMPLETE
132,0.5467146474743436,0.2,0.001,0.002,0.4,512,256,20,0.0299,0.69413,0.5693,0.5766,0.1533,0.8692,0.2188,0.5974,0.4472,1135,256,0.5187,0.5467,0.0934,0.8251,0.1768,0.5867,0.4323,150,COMPLETE
133,0.5591763294682127,0.2,0.001,0.002,0.4,512,256,23,0.0014,0.6918,0.5414,0.5606,0.1212,0.9963,0.0094,0.6201,0.0705,179,256,0.5274,0.5592,0.1184,0.9945,0.0061,0.5882,0.049,17,COMPLETE
134,0.5651739304278289,0.2,0.001,0.002,0.4,512,256,34,-0.0097,0.68942,0.5437,0.5555,0.111,0.6732,0.3923,0.5737,0.4677,1187,256,0.536,0.5652,0.1303,0.6776,0.378,0.6098,0.4726,164,COMPLETE
135,0.5613421298147407,0.2,0.001,0.002,0.4,512,256,23,-0.0052,0.69031,0.5548,0.5561,0.1123,0.8063,0.2607,0.5852,0.4094,1039,256,0.562,0.5613,0.1227,0.7541,0.3476,0.5762,0.4352,151,COMPLETE
136,0.5096628015460483,0.2,0.001,0.002,0.4,512,256,19,0.0386,0.6937,0.5398,0.5483,0.0965,0.9759,0.0299,0.5858,0.1217,309,256,0.536,0.5097,0.0193,1.0,0.0183,0.4651,0.1239,43,COMPLETE
137,0.5562774890043982,0.2,0.001,0.002,0.4,512,256,19,-0.0037,0.69223,0.5449,0.5526,0.1052,0.9898,0.0248,0.6286,0.1485,377,256,0.5245,0.5563,0.1126,0.9672,0.0305,0.6078,0.147,51,COMPLETE
138,0.5286552045848327,0.2,0.001,0.002,0.4,512,256,16,0.0233,0.69443,0.5426,0.5519,0.1038,0.9876,0.0222,0.6136,0.0347,88,256,0.5331,0.5287,0.0573,0.9945,0.0183,0.4286,0.0403,14,COMPLETE
139,0.5339197654271625,0.2,1e-05,0.002,0.4,512,256,18,0.0507,0.69285,0.5512,0.5846,0.1693,0.7244,0.3487,0.6288,0.3503,889,256,0.5274,0.5339,0.0678,0.7322,0.2988,0.5664,0.3256,113,COMPLETE
140,0.5297547647607623,0.2,0.001,0.001,0.4,512,256,26,0.0267,0.69263,0.5429,0.5565,0.113,0.8801,0.1487,0.6258,0.2348,596,256,0.513,0.5298,0.0595,0.8361,0.1524,0.5735,0.196,68,COMPLETE
141,0.551079568172731,0.2,0.001,0.002,0.4,512,256,16,-0.0,0.69255,0.5398,0.551,0.1021,0.9942,0.0085,0.6316,0.015,38,256,0.5245,0.5511,0.1022,0.9891,0.0061,0.75,0.0115,4,COMPLETE
142,0.5073637211781954,0.2,0.001,0.002,0.4,512,256,18,0.0435,0.69325,0.5402,0.5509,0.1018,0.9993,0.0034,0.6481,0.0213,54,256,0.5274,0.5074,0.0147,1.0,0.0,0.5,0.0115,4,COMPLETE
143,0.5262561642009863,0.2,0.001,0.002,0.4,512,256,20,0.0199,0.69281,0.5418,0.5461,0.0923,0.9795,0.0299,0.5758,0.052,132,256,0.5331,0.5263,0.0525,0.9672,0.0488,0.6667,0.0346,12,COMPLETE
144,0.5259896041583367,0.2,0.001,0.002,0.4,512,256,15,0.0217,0.69309,0.5414,0.5477,0.0954,0.9985,0.0068,0.2857,0.0028,7,256,0.5303,0.526,0.052,1.0,0.0061,-1.0,0.0,0,COMPLETE
145,0.497167799546848,0.2,0.001,0.002,0.4,128,256,13,0.0558,0.69462,0.5406,0.553,0.106,0.9868,0.0188,0.6253,0.1493,379,64,0.5389,0.4972,-0.0057,0.9945,0.0305,0.5897,0.1124,39,COMPLETE
146,0.5287884846061576,0.2,0.0001,0.002,0.4,512,256,14,0.0374,0.69616,0.5457,0.5662,0.1323,0.8823,0.1521,0.612,0.2691,683,256,0.5274,0.5288,0.0576,0.8251,0.1951,0.5663,0.2392,83,COMPLETE
147,0.5109956017592963,0.2,1e-05,0.0005,0.4,512,256,16,0.0713,0.69455,0.5556,0.5823,0.1646,0.864,0.1949,0.6215,0.3696,938,256,0.5216,0.511,0.022,0.765,0.25,0.551,0.2824,98,COMPLETE
148,0.5337531654005065,0.2,0.001,0.002,0.4,512,256,13,0.0236,0.69344,0.5445,0.5574,0.1147,0.9123,0.1145,0.6133,0.1182,300,256,0.5389,0.5338,0.0675,0.8743,0.1646,0.5429,0.1009,35,COMPLETE
149,0.5048647207783553,0.2,0.001,0.002,0.4,512,256,16,0.0388,0.69373,0.5394,0.5437,0.0874,0.9985,0.0026,0.6505,0.0406,103,256,0.5274,0.5049,0.0097,1.0,0.0,0.5556,0.0259,9,COMPLETE
150,0.5072637611622018,0.2,0.001,0.002,0.4,256,256,19,0.0391,0.69432,0.5433,0.5464,0.0928,0.9868,0.0248,0.6074,0.1485,377,256,0.5245,0.5073,0.0145,0.9945,0.0,0.4815,0.1556,54,COMPLETE
151,0.5495135279221645,0.2,0.001,0.002,0.4,512,256,17,0.0081,0.69237,0.5382,0.5576,0.1153,0.9942,0.0051,0.6296,0.117,297,256,0.5274,0.5495,0.099,1.0,0.0,0.6333,0.0865,30,COMPLETE
152,0.5661735305877649,0.2,0.001,0.002,0.4,512,256,16,-0.0282,0.69007,0.5453,0.538,0.076,0.8918,0.1402,0.5627,0.2136,542,256,0.5389,0.5662,0.1323,0.8525,0.189,0.5897,0.2248,78,COMPLETE
153,0.5614087698254031,0.2,0.001,0.002,0.4,512,256,31,0.0073,0.68869,0.5611,0.5688,0.1375,0.7785,0.3068,0.5968,0.3664,930,256,0.5648,0.5614,0.1228,0.7541,0.3537,0.5678,0.3401,118,COMPLETE
154,0.5403838464614155,0.2,0.001,0.002,0.4,512,256,23,0.0014,0.69268,0.5406,0.5418,0.0835,0.9678,0.041,0.5903,0.1221,310,256,0.5245,0.5404,0.0808,0.9344,0.0671,0.5526,0.1095,38,COMPLETE
155,0.5579101692656271,0.2,0.001,0.002,0.4,512,256,32,0.0286,0.69031,0.5745,0.5865,0.1731,0.8012,0.3094,0.6062,0.4732,1201,256,0.5533,0.5579,0.1158,0.7486,0.3354,0.5801,0.5216,181,COMPLETE
156,0.5163601226176197,0.2,0.001,0.002,0.4,512,256,17,0.0271,0.69466,0.5398,0.5435,0.087,0.9993,0.0026,0.5967,0.1182,300,256,0.5274,0.5164,0.0327,1.0,0.0,0.5476,0.121,42,COMPLETE
157,0.5129948020791684,0.2,1e-05,0.002,0.4,512,256,16,0.0797,0.69507,0.5721,0.5927,0.1855,0.8333,0.2667,0.6657,0.2758,700,256,0.5014,0.513,0.026,0.6721,0.311,0.56,0.2161,75,COMPLETE
158,0.5500466480074637,0.2,0.001,0.002,0.4,512,256,25,0.0204,0.69255,0.5461,0.5705,0.141,0.9693,0.0513,0.6113,0.2849,723,256,0.5245,0.55,0.1001,0.918,0.0854,0.567,0.2795,97,COMPLETE
159,0.5704051712648275,0.2,0.001,0.002,0.4,512,256,23,-0.0091,0.69113,0.5504,0.5613,0.1225,0.9569,0.0752,0.6076,0.1958,497,256,0.5274,0.5704,0.1408,0.9126,0.0976,0.5694,0.2075,72,COMPLETE
160,0.5126282820205251,0.2,0.001,0.002,0.4,512,256,27,0.0381,0.69351,0.5469,0.5508,0.1015,0.9795,0.041,0.6232,0.1663,422,256,0.5389,0.5126,0.0253,0.9891,0.0366,0.56,0.1441,50,COMPLETE
161,0.5661068905771025,0.2,0.001,0.002,0.4,512,256,17,-0.0195,0.68895,0.5516,0.5466,0.0933,0.9232,0.1171,0.5872,0.3026,768,256,0.5562,0.5661,0.1322,0.9016,0.1707,0.5596,0.3141,109,COMPLETE
162,0.5310875649740103,0.2,0.001,0.002,0.4,512,256,26,0.0117,0.69129,0.5378,0.5428,0.0856,0.867,0.153,0.5647,0.2589,657,256,0.5043,0.5311,0.0622,0.776,0.2012,0.6078,0.2939,102,COMPLETE
163,0.5052978808476609,0.2,0.001,0.002,0.4,512,256,21,0.039,0.69368,0.5406,0.5443,0.0886,0.9971,0.0068,0.6106,0.1265,321,256,0.5274,0.5053,0.0106,1.0,0.0,0.525,0.1153,40,COMPLETE
164,0.539984006397441,0.2,0.001,0.002,0.4,512,256,21,0.014,0.69258,0.5402,0.5539,0.1079,0.9963,0.0068,0.6271,0.0232,59,256,0.5274,0.54,0.08,1.0,0.0,0.25,0.0115,4,COMPLETE
165,0.5693722510995602,0.2,0.001,0.002,0.4,512,256,26,-0.0083,0.69148,0.5544,0.5611,0.1221,0.7149,0.3667,0.5913,0.4078,1035,256,0.5476,0.5694,0.1387,0.6721,0.4085,0.5535,0.4582,159,COMPLETE
166,0.5393009462881514,0.2,0.001,0.002,0.4,512,256,18,0.0082,0.69335,0.5398,0.5475,0.0949,0.9993,0.0026,0.5897,0.0307,78,256,0.5274,0.5393,0.0786,1.0,0.0,1.0,0.0029,1,COMPLETE
167,0.5579101692656271,0.2,1e-05,0.002,0.4,512,256,14,0.0097,0.69092,0.5528,0.5677,0.1353,0.8216,0.2385,0.6014,0.2916,740,256,0.5216,0.5579,0.1158,0.7814,0.2317,0.596,0.2853,99,COMPLETE
168,0.5582766893242703,0.2,0.001,0.002,0.4,512,256,23,-0.0006,0.69042,0.5473,0.5577,0.1153,0.8611,0.1803,0.6051,0.2494,633,256,0.5331,0.5583,0.1166,0.8306,0.2012,0.5882,0.245,85,COMPLETE
169,0.5259562841530054,0.2,0.001,0.002,0.4,512,128,14,0.025,0.69419,0.5414,0.551,0.102,0.9956,0.0103,0.6011,0.2124,539,128,0.5245,0.526,0.0519,0.9891,0.0061,0.6282,0.2248,78,COMPLETE
170,0.5005664400906304,0.2,0.001,0.001,0.4,512,256,16,0.0462,0.69434,0.5422,0.5467,0.0934,0.9927,0.0154,0.6056,0.0989,251,256,0.5389,0.5006,0.0011,0.9891,0.0366,0.5,0.098,34,COMPLETE
171,0.5415833666533387,0.2,0.001,0.002,0.4,512,256,15,0.0072,0.69372,0.5422,0.5488,0.0976,0.973,0.0385,0.6163,0.1694,430,256,0.5187,0.5416,0.0832,0.9508,0.0366,0.6102,0.17,59,COMPLETE
172,0.5711215513794483,0.2,0.001,0.002,0.4,512,256,21,-0.0124,0.69116,0.5504,0.5587,0.1174,0.9452,0.0889,0.6195,0.2226,565,256,0.536,0.5711,0.1422,0.929,0.0976,0.6667,0.2248,78,COMPLETE
173,0.5238238038118086,0.2,0.001,0.002,0.4,512,256,16,0.0311,0.69322,0.5429,0.5549,0.1098,0.9284,0.0923,0.6256,0.1568,398,256,0.5187,0.5238,0.0476,0.8743,0.122,0.5333,0.1729,60,COMPLETE
174,0.544615487138478,0.2,0.001,0.002,0.4,512,256,15,-0.0341,0.69382,0.5311,0.5105,0.0211,0.8465,0.1624,0.5857,0.0989,251,256,0.5245,0.5446,0.0892,0.8361,0.1768,0.7273,0.0634,22,COMPLETE
175,0.5475809676129548,0.2,0.001,0.002,0.4,512,256,17,0.0047,0.69283,0.5406,0.5522,0.1045,0.9942,0.0103,0.6188,0.0713,181,256,0.5274,0.5476,0.0952,1.0,0.0,0.5652,0.0663,23,COMPLETE
176,0.5166933226709316,0.2,0.001,0.002,0.1,512,256,8,0.021,0.69312,0.5382,0.5377,0.0753,0.9708,0.0325,0.616,0.0934,237,256,0.5245,0.5167,0.0334,0.9727,0.0244,0.72,0.072,25,COMPLETE
177,0.5254231640677063,0.2,1e-05,0.002,0.4,128,256,14,0.0794,0.6912,0.5757,0.6048,0.2096,0.8202,0.2897,0.6357,0.344,873,64,0.5187,0.5254,0.0508,0.7923,0.2134,0.561,0.2363,82,COMPLETE
178,0.5524456883913101,0.2,0.0001,0.002,0.4,512,256,19,0.0405,0.69205,0.5626,0.593,0.186,0.8406,0.2376,0.6477,0.3042,772,256,0.513,0.5524,0.1049,0.7486,0.25,0.6449,0.3084,107,COMPLETE
179,0.4965347194455551,0.2,0.001,0.0005,0.4,512,256,21,0.0533,0.69499,0.5437,0.5498,0.0996,0.9846,0.0282,0.6037,0.2336,593,256,0.5389,0.4965,-0.0069,0.9891,0.0366,0.5,0.2133,74,COMPLETE
180,0.5093296014927362,0.2,0.001,0.002,0.4,512,256,16,0.0347,0.69394,0.5441,0.544,0.088,0.9912,0.0214,0.5941,0.1612,409,256,0.5303,0.5093,0.0187,0.9781,0.0305,0.4902,0.147,51,COMPLETE
181,0.5869652139144342,0.2,0.001,0.002,0.4,512,256,25,-0.0274,0.68626,0.5532,0.5595,0.1191,0.8363,0.2222,0.5956,0.344,873,256,0.5735,0.587,0.1739,0.8142,0.3049,0.5878,0.3775,131,COMPLETE
182,0.5103625216580034,0.2,0.001,0.002,0.4,512,256,21,0.0312,0.69326,0.5422,0.5416,0.0832,0.9971,0.0103,0.6319,0.0717,182,256,0.5303,0.5104,0.0207,0.9945,0.0122,0.5789,0.0548,19,COMPLETE
183,0.5553112088497935,0.2,0.001,0.002,0.4,512,256,25,0.0142,0.69125,0.5623,0.5695,0.139,0.8816,0.1889,0.601,0.4019,1020,256,0.5533,0.5553,0.1106,0.847,0.2256,0.531,0.4179,145,COMPLETE
184,0.5472477675596428,0.2,0.001,0.002,0.4,512,256,17,0.0089,0.69212,0.5556,0.5562,0.1123,0.924,0.1248,0.6052,0.2585,656,256,0.5303,0.5472,0.0945,0.8798,0.1402,0.5789,0.2738,95,COMPLETE
185,0.5516126882580301,0.2,0.001,0.002,0.4,512,256,22,-0.0108,0.69165,0.5504,0.5408,0.0816,0.8428,0.2085,0.5791,0.3735,948,256,0.5187,0.5516,0.1032,0.7978,0.2073,0.5685,0.4207,146,COMPLETE
186,0.4960182593629215,0.2,0.001,0.002,0.4,512,256,18,0.047,0.69329,0.5398,0.543,0.0861,0.9993,0.0026,0.6056,0.028,71,256,0.5274,0.496,-0.008,1.0,0.0,0.5714,0.0202,7,COMPLETE
187,0.546448087431694,0.2,0.001,0.002,0.4,512,256,18,0.0119,0.69292,0.539,0.5583,0.1167,0.9971,0.0034,0.6295,0.1765,448,256,0.5274,0.5464,0.0929,1.0,0.0,0.5806,0.1787,62,COMPLETE
188,0.5281220844995336,0.2,1e-05,0.002,0.4,256,256,15,0.0695,0.69238,0.5705,0.5976,0.1952,0.8048,0.2966,0.6625,0.3117,791,256,0.5187,0.5281,0.0562,0.7049,0.311,0.5521,0.2767,96,COMPLETE
189,0.49970011995201924,0.2,0.001,0.002,0.4,512,256,20,0.042,0.69401,0.5422,0.5417,0.0834,0.9883,0.0205,0.5817,0.1036,263,256,0.5303,0.4997,-0.0006,0.9945,0.0122,0.4444,0.1037,36,COMPLETE
190,0.5332200453152072,0.2,0.001,0.002,0.4,512,256,20,0.0174,0.69248,0.5406,0.5506,0.1013,0.9773,0.0299,0.5997,0.2431,617,256,0.5389,0.5332,0.0664,0.9781,0.0488,0.5326,0.2651,92,COMPLETE
191,0.5469812075169932,0.2,0.001,0.002,0.4,512,256,24,0.0377,0.69263,0.5721,0.5846,0.1693,0.8377,0.2615,0.614,0.3593,912,256,0.5389,0.547,0.094,0.776,0.2744,0.5678,0.3401,118,COMPLETE
192,0.5671731307477008,0.2,0.001,0.002,0.4,512,256,24,-0.0053,0.68955,0.5583,0.5619,0.1237,0.8721,0.1915,0.6051,0.3412,866,256,0.536,0.5672,0.1343,0.8525,0.1829,0.5932,0.3401,118,COMPLETE
193,0.5241570038651205,0.2,0.001,0.002,0.4,512,256,41,0.0172,0.69193,0.5481,0.5414,0.0827,0.9737,0.0504,0.5954,0.225,571,256,0.536,0.5242,0.0483,0.9781,0.0427,0.5405,0.2133,74,COMPLETE
194,0.5403838464614155,0.2,0.001,0.002,0.4,512,256,23,0.0099,0.69275,0.5414,0.5503,0.1005,0.9883,0.0188,0.5921,0.2396,608,256,0.5187,0.5404,0.0808,0.9563,0.0305,0.5732,0.2363,82,COMPLETE
195,0.5011995201919232,0.2,0.001,0.002,0.4,512,256,25,0.0466,0.69401,0.5414,0.5478,0.0955,0.9927,0.0137,0.6213,0.1072,272,256,0.5331,0.5012,0.0024,1.0,0.0122,0.5,0.0692,24,COMPLETE
196,0.5597427695588432,0.2,0.001,0.002,0.4,512,128,24,-0.0049,0.69053,0.55,0.5549,0.1098,0.932,0.1034,0.606,0.223,566,128,0.5216,0.5597,0.1195,0.8743,0.128,0.6622,0.2133,74,COMPLETE
197,0.5461148873783819,0.2,0.001,0.002,0.4,512,128,20,0.0057,0.69174,0.5429,0.5518,0.1036,0.9635,0.0513,0.6016,0.2947,748,128,0.536,0.5461,0.0922,0.9454,0.0793,0.6042,0.2767,96,COMPLETE
198,0.5337198453951753,0.2,1e-05,0.002,0.4,512,128,18,0.0643,0.69358,0.569,0.598,0.1959,0.8553,0.2342,0.6351,0.4113,1044,128,0.5101,0.5337,0.0674,0.7432,0.25,0.5746,0.3862,134,COMPLETE
199,0.5200253232040517,0.2,0.001,0.002,0.4,512,128,14,0.0223,0.69393,0.541,0.5423,0.0846,0.9963,0.0085,0.5988,0.0638,162,128,0.5331,0.52,0.0401,1.0,0.0122,0.5833,0.0692,24,COMPLETE
